model,variant,removed_family,feature_count,fold,split,mean_rank_ic,median_rank_ic,rank_ic_std,rank_ic_ir,positive_timestamp_fraction,rmse,mae,n_rows,n_timestamps
lightgbm,full,,16,1,test,0.00768789005183,0.0121419682099,0.300445071589,0.0255883380319,0.511714370021,0.00432873840565,0.00286213096379,339600,16980
lightgbm,full,,16,1,validation,0.0121261829357,0.014257216318,0.279644188917,0.0433628997717,0.516295796808,0.00374935585377,0.00257442717026,178320,8916
lightgbm,full,,16,2,test,0.0180746678566,0.0259772445998,0.31259777205,0.0578208467003,0.521940700809,0.00368125851604,0.00249944577789,351120,17556
lightgbm,full,,16,2,validation,0.00454201522397,0.0120577798215,0.306948666791,0.0147973121091,0.509174311927,0.00461081255867,0.00303314184736,161040,8052
lightgbm,full,,16,3,test,0.0190117667719,0.0198928670005,0.331576343338,0.0573375246875,0.510415666699,0.0050359085486,0.00306363432637,351120,17556
lightgbm,full,,16,3,validation,-0.00786004688747,-0.0198928670005,0.336595225736,-0.0233516291572,0.490452261307,0.00350898374109,0.00236069793845,172560,8628
lightgbm,without_activity_flow,activity_flow,12,1,test,0.0175728845522,0.0198928670005,0.319671912023,0.0549716252549,0.520005537865,0.00432920458082,0.00286230309506,339600,16980
lightgbm,without_activity_flow,activity_flow,12,1,validation,0.00562074743194,0.00912256102588,0.327726244986,0.0171507394294,0.505280946346,0.00374895285216,0.00257420285943,178320,8916
lightgbm,without_activity_flow,activity_flow,12,2,test,0.0271205840945,0.0548408497107,0.320635473075,0.0845838541642,0.538904899135,0.00368111519054,0.00249936212992,351120,17556
lightgbm,without_activity_flow,activity_flow,12,2,validation,0.0149126058675,0.0274204248554,0.322004346522,0.0463118154415,0.51829787234,0.00461073748771,0.00303317329761,161040,8052
lightgbm,without_activity_flow,activity_flow,12,3,test,0.00695145504823,0.00721590127772,0.347801839095,0.0199868265974,0.504786335481,0.00503484173071,0.00306376087981,351120,17556
lightgbm,without_activity_flow,activity_flow,12,3,validation,0.00603528104893,0.0139250069003,0.31628326611,0.019081885435,0.506551666943,0.00350896942189,0.00236064540338,172560,8628
lightgbm,without_calendar,calendar,12,1,test,0.0292569087555,0.0407180344069,0.316970152496,0.0923017783379,0.536620658949,0.00432855288486,0.00286203497253,339600,16980
lightgbm,without_calendar,calendar,12,1,validation,0.0134431495764,0.0242916839282,0.326838357414,0.0411308809737,0.521208599651,0.00374939777849,0.0025744697851,178320,8916
lightgbm,without_calendar,calendar,12,2,test,0.0217239540932,0.0289036656508,0.316650292203,0.068605507805,0.530887510116,0.00368118402633,0.00249939416872,351120,17556
lightgbm,without_calendar,calendar,12,2,validation,0.0311913836472,0.0423724466263,0.315819987412,0.098763171713,0.52946298984,0.00461060862879,0.00303320039654,161040,8052
lightgbm,without_calendar,calendar,12,3,test,0.016419972904,0.0199003497418,0.323478973587,0.0507605570831,0.515425072612,0.00503571973286,0.00306359655697,351120,17556
lightgbm,without_calendar,calendar,12,3,validation,0.0337493134514,0.0593120964031,0.313343155165,0.107707198626,0.548205280332,0.00350898074014,0.00236069533835,172560,8628
lightgbm,without_range_volatility,range_volatility,12,1,test,0.00260235562345,0.000964573148231,0.279010629478,0.00932708416275,0.500236071766,0.00432853354992,0.00286211006224,339600,16980
lightgbm,without_range_volatility,range_volatility,12,1,validation,0.0096216504423,0.0121419682099,0.258097508876,0.037279129443,0.5137717819,0.0037494394149,0.00257450392214,178320,8916
lightgbm,without_range_volatility,range_volatility,12,2,test,0.0246077288051,0.0289036656508,0.293439215537,0.0838597143878,0.535091716988,0.00368130608896,0.00249930862182,351120,17556
lightgbm,without_range_volatility,range_volatility,12,2,validation,0.0185782258183,0.0191862445544,0.289146404195,0.0642519690676,0.521361152509,0.00461014504091,0.00303295003248,161040,8052
lightgbm,without_range_volatility,range_volatility,12,3,test,0.0120420034971,0.0187317162316,0.307220574442,0.0391966049768,0.50756662649,0.00503567057747,0.00306358671326,351120,17556
lightgbm,without_range_volatility,range_volatility,12,3,validation,0.0276470341593,0.0442325296438,0.297034401711,0.0930768759444,0.540072492952,0.00350892011981,0.00236065707888,172560,8628
lightgbm,without_returns,returns,12,1,test,0.0246793219911,0.0370535477732,0.319012159648,0.0773616968654,0.535952804987,0.00432898164445,0.00286221307562,339600,16980
lightgbm,without_returns,returns,12,1,validation,0.00271572862808,0.00845715900861,0.320696360918,0.00846822402445,0.503486345148,0.00374933426198,0.00257443082237,178320,8916
lightgbm,without_returns,returns,12,2,test,0.0292324120683,0.0596786010015,0.32175437614,0.0908531918631,0.54115942029,0.00368110618339,0.00249937925013,351120,17556
lightgbm,without_returns,returns,12,2,validation,0.00990100013148,0.00803361873494,0.316470035837,0.031285742757,0.501342882722,0.00461110579935,0.00303338276616,161040,8052
lightgbm,without_returns,returns,12,3,test,0.0190492056508,0.0233175179657,0.359331336344,0.0530129262998,0.520592423811,0.00503652240202,0.00306397008711,351120,17556
lightgbm,without_returns,returns,12,3,validation,0.0132115526052,0.0193891683582,0.326916151096,0.0404126641064,0.520806769445,0.00350891846004,0.00236090635181,172560,8628
ridge,full,,16,1,test,0.0115246048137,0.0135338345865,0.292013329106,0.0394660231744,0.516431095406,0.00433376054553,0.00286445750139,339600,16980
ridge,full,,16,1,validation,0.0056909990576,0.00601503759398,0.280352542071,0.0202994380416,0.506393001346,0.00375692774224,0.0025778632197,178320,8916
ridge,full,,16,2,test,0.0128773030312,0.0135338345865,0.273316178893,0.0471150412075,0.517543859649,0.00368315923431,0.0025011373667,351120,17556
ridge,full,,16,2,validation,0.0136933471269,0.0165413533835,0.281035798847,0.0487245652799,0.522230501739,0.00461378986463,0.00303494707382,161040,8052
ridge,full,,16,3,test,0.00479595697445,0.00300751879699,0.307649602553,0.0155890237941,0.503873319663,0.00503663561616,0.00306454312156,351120,17556
ridge,full,,16,3,validation,0.0129773623622,0.012030075188,0.274981243252,0.0471936274952,0.514371812703,0.00351156476332,0.002361567699,172560,8628
ridge,without_activity_flow,activity_flow,12,1,test,0.0130585048702,0.015037593985,0.327196892316,0.0399102350203,0.515724381625,0.0043343964354,0.00286434268791,339600,16980
ridge,without_activity_flow,activity_flow,12,1,validation,0.00845918494085,0.0165413533835,0.319077370425,0.0265113910447,0.518281740691,0.00375757797171,0.00257794970163,178320,8916
ridge,without_activity_flow,activity_flow,12,2,test,0.0297518735569,0.0315789473684,0.315751330563,0.0942256474543,0.538163590795,0.00368260812817,0.00249976966437,351120,17556
ridge,without_activity_flow,activity_flow,12,2,validation,0.014666016318,0.015037593985,0.30321057012,0.0483690799836,0.518007948336,0.00461403578877,0.00303491651551,161040,8052
ridge,without_activity_flow,activity_flow,12,3,test,0.0154209155053,0.015037593985,0.35063605664,0.0439798338283,0.514638869902,0.00503668758509,0.00306365403802,351120,17556
ridge,without_activity_flow,activity_flow,12,3,validation,0.0438587895679,0.0466165413534,0.321673890568,0.136345506595,0.555748725081,0.0035101962666,0.00235959485989,172560,8628
ridge,without_calendar,calendar,12,1,test,0.0117507132596,0.012030075188,0.292757631347,0.0401380254567,0.51519434629,0.00433385016239,0.00286461006576,339600,16980
ridge,without_calendar,calendar,12,1,validation,0.00545704192802,0.00451127819549,0.281050136719,0.0194166136751,0.505159264244,0.00375707076874,0.00257801861823,178320,8916
ridge,without_calendar,calendar,12,2,test,0.0134182480678,0.015037593985,0.273660365145,0.0490324861645,0.51999316473,0.00368309103438,0.00250096870137,351120,17556
ridge,without_calendar,calendar,12,2,validation,0.0142377174851,0.0165413533835,0.281269189021,0.0506195418512,0.521609538003,0.00461383877988,0.00303479645471,161040,8052
ridge,without_calendar,calendar,12,3,test,0.00526236064444,0.00451127819549,0.307820582917,0.0170955450561,0.504898610162,0.00503666978433,0.00306457022911,351120,17556
ridge,without_calendar,calendar,12,3,validation,0.013216950418,0.0105263157895,0.275430658419,0.0479864895718,0.516805748725,0.00351147059372,0.00236144194182,172560,8628
ridge,without_range_volatility,range_volatility,12,1,test,0.0339037033694,0.0330827067669,0.279475670774,0.121311823944,0.544581861013,0.00433326870313,0.00286209859753,339600,16980
ridge,without_range_volatility,range_volatility,12,1,validation,0.026838326401,0.0300751879699,0.271265494773,0.0989374871412,0.541386271871,0.00375588112351,0.00257535992434,178320,8916
ridge,without_range_volatility,range_volatility,12,2,test,0.0369797296415,0.0390977443609,0.264398573182,0.139863574892,0.557928913192,0.00368179017101,0.00249854333983,351120,17556
ridge,without_range_volatility,range_volatility,12,2,validation,0.0268056876645,0.0240601503759,0.275912836605,0.0971527385034,0.534525583706,0.00461463958623,0.00303321778553,161040,8052
ridge,without_range_volatility,range_volatility,12,3,test,0.0261709357354,0.0255639097744,0.275827216565,0.0948816293813,0.53702437913,0.0050377304612,0.00306312822478,351120,17556
ridge,without_range_volatility,range_volatility,12,3,validation,0.0289611922121,0.0285714285714,0.260045674048,0.111369636577,0.544969865554,0.0035106803554,0.00235965547106,172560,8628
ridge,without_returns,returns,12,1,test,-0.000308630763673,0.0015037593985,0.301419979229,-0.00102392271561,0.500824499411,0.0043338649184,0.00286570434016,339600,16980
ridge,without_returns,returns,12,1,validation,-0.00320878107851,-0.00601503759398,0.289323700545,-0.0110906264245,0.490578734859,0.00375602941367,0.00257878214949,178320,8916
ridge,without_returns,returns,12,2,test,-0.000584153782561,0,0.280990152542,-0.00207891193793,0.498575985418,0.00368395130465,0.00250240867775,351120,17556
ridge,without_returns,returns,12,2,validation,0.00658079805527,0.00902255639098,0.284709364219,0.0231140906564,0.510556383507,0.00461392154564,0.00303622240994,161040,8052
ridge,without_returns,returns,12,3,test,-0.00441018738985,-0.00601503759398,0.319347672388,-0.0138099875815,0.491854636591,0.00503641728158,0.00306546002101,351120,17556
ridge,without_returns,returns,12,3,validation,0.00262419289434,0.00338643210501,0.283993061995,0.00924034156296,0.50498377376,0.00351172066447,0.00236277913172,172560,8628
