model,variant,fold,selection_type,candidate,validation_mean_rank_ic,selected,source_frozen
lightgbm,full,1,lightgbm_iteration,best_iteration=5,0.0121261829357,True,True
lightgbm,full,2,lightgbm_iteration,best_iteration=3,0.00454201522397,True,True
lightgbm,full,3,lightgbm_iteration,best_iteration=1,-0.00786004688747,True,True
lightgbm,without_activity_flow,1,lightgbm_iteration,best_iteration=12,0.00562074743194,True,False
lightgbm,without_activity_flow,2,lightgbm_iteration,best_iteration=2,0.0149126058675,True,False
lightgbm,without_activity_flow,3,lightgbm_iteration,best_iteration=9,0.00603528104893,True,False
lightgbm,without_calendar,1,lightgbm_iteration,best_iteration=1,0.0134431495764,True,False
lightgbm,without_calendar,2,lightgbm_iteration,best_iteration=1,0.0311913836472,True,False
lightgbm,without_calendar,3,lightgbm_iteration,best_iteration=1,0.0337493134514,True,False
lightgbm,without_range_volatility,1,lightgbm_iteration,best_iteration=2,0.0096216504423,True,False
lightgbm,without_range_volatility,2,lightgbm_iteration,best_iteration=9,0.0185782258183,True,False
lightgbm,without_range_volatility,3,lightgbm_iteration,best_iteration=1,0.0276470341593,True,False
lightgbm,without_returns,1,lightgbm_iteration,best_iteration=2,0.00271572862808,True,False
lightgbm,without_returns,2,lightgbm_iteration,best_iteration=1,0.00990100013148,True,False
lightgbm,without_returns,3,lightgbm_iteration,best_iteration=20,0.0132115526052,True,False
ridge,full,1,ridge_alpha,alpha=0.1,0.00568915263183,False,True
ridge,full,1,ridge_alpha,alpha=1.0,0.00567953807919,False,True
ridge,full,1,ridge_alpha,alpha=10.0,0.00565913376191,False,True
ridge,full,1,ridge_alpha,alpha=100.0,0.0056909990576,True,True
ridge,full,2,ridge_alpha,alpha=0.1,0.0136931641696,False,True
ridge,full,2,ridge_alpha,alpha=1.0,0.0136886820253,False,True
ridge,full,2,ridge_alpha,alpha=10.0,0.0136922287007,False,True
ridge,full,2,ridge_alpha,alpha=100.0,0.0136933471269,True,True
ridge,full,3,ridge_alpha,alpha=0.1,0.0129761423442,False,True
ridge,full,3,ridge_alpha,alpha=1.0,0.012976665209,False,True
ridge,full,3,ridge_alpha,alpha=10.0,0.0129773623622,True,True
ridge,full,3,ridge_alpha,alpha=100.0,0.0129337882547,False,True
ridge,without_activity_flow,1,ridge_alpha,alpha=0.1,0.00839231501755,False,False
ridge,without_activity_flow,1,ridge_alpha,alpha=1.0,0.00838952051044,False,False
ridge,without_activity_flow,1,ridge_alpha,alpha=10.0,0.00839417857211,False,False
ridge,without_activity_flow,1,ridge_alpha,alpha=100.0,0.00845918494085,True,False
ridge,without_activity_flow,2,ridge_alpha,alpha=0.1,0.0146637746137,False,False
ridge,without_activity_flow,2,ridge_alpha,alpha=1.0,0.014666016318,True,False
ridge,without_activity_flow,2,ridge_alpha,alpha=10.0,0.0146605991292,False,False
ridge,without_activity_flow,2,ridge_alpha,alpha=100.0,0.0146527535503,False,False
ridge,without_activity_flow,3,ridge_alpha,alpha=0.1,0.0438568632833,False,False
ridge,without_activity_flow,3,ridge_alpha,alpha=1.0,0.0438518089228,False,False
ridge,without_activity_flow,3,ridge_alpha,alpha=10.0,0.0438502400659,False,False
ridge,without_activity_flow,3,ridge_alpha,alpha=100.0,0.0438587895679,True,False
ridge,without_calendar,1,ridge_alpha,alpha=0.1,0.00545704192802,True,False
ridge,without_calendar,1,ridge_alpha,alpha=1.0,0.00545012692854,False,False
ridge,without_calendar,1,ridge_alpha,alpha=10.0,0.00545585770134,False,False
ridge,without_calendar,1,ridge_alpha,alpha=100.0,0.00542296413128,False,False
ridge,without_calendar,2,ridge_alpha,alpha=0.1,0.0142362239288,False,False
ridge,without_calendar,2,ridge_alpha,alpha=1.0,0.0142341677159,False,False
ridge,without_calendar,2,ridge_alpha,alpha=10.0,0.0142377174851,True,False
ridge,without_calendar,2,ridge_alpha,alpha=100.0,0.014236129039,False,False
ridge,without_calendar,3,ridge_alpha,alpha=0.1,0.0131941246114,False,False
ridge,without_calendar,3,ridge_alpha,alpha=1.0,0.0131937760348,False,False
ridge,without_calendar,3,ridge_alpha,alpha=10.0,0.013197436089,False,False
ridge,without_calendar,3,ridge_alpha,alpha=100.0,0.013216950418,True,False
ridge,without_range_volatility,1,ridge_alpha,alpha=0.1,0.0268346126145,False,False
ridge,without_range_volatility,1,ridge_alpha,alpha=1.0,0.0268346126145,False,False
ridge,without_range_volatility,1,ridge_alpha,alpha=10.0,0.026838326401,True,False
ridge,without_range_volatility,1,ridge_alpha,alpha=100.0,0.0268143734013,False,False
ridge,without_range_volatility,2,ridge_alpha,alpha=0.1,0.0268030730803,False,False
ridge,without_range_volatility,2,ridge_alpha,alpha=1.0,0.0268047538844,False,False
ridge,without_range_volatility,2,ridge_alpha,alpha=10.0,0.0268056876645,True,False
