symbol,bar_rows,panel_rows,first_panel_timestamp,last_panel_timestamp,max_label_end_error_ns,max_raw_target_abs_error,mean_raw_target,mean_execution_return,mean_execution_minus_label,mean_abs_execution_minus_label
ADAUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-0.000156352006788,-0.000162309052428,-5.95704564086e-06,0.000128230256713
APTUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-0.000242557804034,-0.000243149703976,-5.91899942006e-07,4.63460323263e-05
ARBUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-0.000168121573702,-0.000173047688552,-4.92611484993e-06,0.000244778430748
ATOMUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-0.000111957063292,-0.000108982321296,2.97474199625e-06,0.000185186054847
AVAXUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-0.000113786363657,-0.00011435223501,-5.65871353372e-07,4.13416553197e-05
BCHUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-0.00011002902164,-0.00010934798969,6.81031949344e-07,1.75369511481e-05
BNBUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-2.06131862935e-05,-2.05609569952e-05,5.2229298283e-08,7.84304638851e-06
BTCUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-6.88180726678e-05,-6.88239830541e-05,-5.91038635524e-09,6.56968275119e-07
DOGEUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-9.42567256624e-05,-9.51487923571e-05,-8.92066694637e-07,3.6910571226e-05
DOTUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-0.000161112325109,-0.000156898404891,4.21392021844e-06,0.000240914864513
ETCUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-9.93508491888e-05,-9.96791693935e-05,-3.28320204689e-07,5.13300042021e-05
ETHUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-5.2066118014e-05,-5.20683821878e-05,-2.2641737608e-09,1.9744206357e-06
FILUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-0.000132189663727,-0.000151407639856,-1.92179761298e-05,0.000352332525382
LINKUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-6.98735326361e-05,-7.11709414579e-05,-1.29740882182e-06,4.24898341164e-05
LTCUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-8.26587508143e-05,-8.5698323685e-05,-3.03957287072e-06,6.76579895637e-05
NEARUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-2.00142725269e-05,-2.0107516807e-05,-9.32442800831e-08,0.000257688367031
SOLUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-8.36893981129e-05,-8.37415134376e-05,-5.21153246945e-08,4.12718862458e-05
TRXUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,1.37522737445e-05,1.34821169968e-05,-2.70156747705e-07,1.54905641641e-05
XLMUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-2.75381818184e-05,-2.7112008061e-05,4.26173757406e-07,3.11413615286e-05
XRPUSDT,105120,105060,2025-07-01 04:00:00+00:00,2026-06-30 22:55:00+00:00,0,0,-8.713128936e-05,-8.74503172393e-05,-3.19027879293e-07,2.58636561575e-05
