model,fold,split,mean_rank_ic,median_rank_ic,rank_ic_std,rank_ic_ir,positive_timestamp_fraction,rmse,mae,n_rows,n_timestamps
lightgbm,1,test,0.00768789005183,0.0121419682099,0.300445071589,0.0255883380319,0.511714370021,0.00432873840565,0.00286213096379,339600,16980
lightgbm,1,validation,0.0121261829357,0.014257216318,0.279644188917,0.0433628997717,0.516295796808,0.00374935585377,0.00257442717026,178320,8916
lightgbm,2,test,0.0180746678566,0.0259772445998,0.31259777205,0.0578208467003,0.521940700809,0.00368125851604,0.00249944577789,351120,17556
lightgbm,2,validation,0.00454201522397,0.0120577798215,0.306948666791,0.0147973121091,0.509174311927,0.00461081255867,0.00303314184736,161040,8052
lightgbm,3,test,0.0190117667719,0.0198928670005,0.331576343338,0.0573375246875,0.510415666699,0.0050359085486,0.00306363432637,351120,17556
lightgbm,3,validation,-0.00786004688747,-0.0198928670005,0.336595225736,-0.0233516291572,0.490452261307,0.00350898374109,0.00236069793845,172560,8628
momentum_12,1,test,-0.0393046399498,-0.0428732636562,0.312104529359,-0.125934218355,0.449293286219,0.00959638043362,0.00640142605566,339600,16980
momentum_12,1,validation,-0.0287872630509,-0.03120880535,0.305060286771,-0.0943658165264,0.457828622701,0.00826918495906,0.00554284998281,178320,8916
momentum_12,2,test,-0.0552763368761,-0.0616541353383,0.301351912062,-0.183427861791,0.423957621326,0.00733246937904,0.00512730783218,351120,17556
momentum_12,2,validation,-0.027607646679,-0.0255639097744,0.295697396441,-0.0933645240417,0.468082463984,0.0107211747105,0.00724031152676,161040,8052
momentum_12,3,test,-0.037463199245,-0.0390977443609,0.31634465443,-0.118425264092,0.454830257462,0.00951195429544,0.00624859731452,351120,17556
momentum_12,3,validation,-0.0531551516783,-0.0616541353383,0.301698569573,-0.176186290023,0.423388966157,0.00667802474819,0.00465634357741,172560,8628
reversal_12,1,test,0.0393046399498,0.0428732636562,0.312104529359,0.125934218355,0.54964664311,0.00951516743531,0.00633854542621,339600,16980
reversal_12,1,validation,0.0287872630509,0.03120880535,0.305060286771,0.0943658165264,0.540040376851,0.00829428426892,0.00548605769625,178320,8916
reversal_12,2,test,0.0552763368761,0.0616541353383,0.301351912062,0.183427861791,0.574447482342,0.00721796439603,0.004995677104,351120,17556
reversal_12,2,validation,0.027607646679,0.0255639097744,0.295697396441,0.0933645240417,0.530303030303,0.0106093212524,0.00718150712184,161040,8052
reversal_12,3,test,0.037463199245,0.0390977443609,0.31634465443,0.118425264092,0.543859649123,0.00946148958902,0.00615341331865,351120,17556
reversal_12,3,validation,0.0531551516783,0.0616541353383,0.301698569573,0.176186290023,0.574524802967,0.00660051208376,0.00451353942971,172560,8628
ridge,1,test,0.0115246048137,0.0135338345865,0.292013329106,0.0394660231744,0.516431095406,0.00433376054553,0.00286445750139,339600,16980
ridge,1,validation,0.0056909990576,0.00601503759398,0.280352542071,0.0202994380416,0.506393001346,0.00375692774224,0.0025778632197,178320,8916
ridge,2,test,0.0128773030312,0.0135338345865,0.273316178893,0.0471150412075,0.517543859649,0.00368315923431,0.0025011373667,351120,17556
ridge,2,validation,0.0136933471269,0.0165413533835,0.281035798847,0.0487245652799,0.522230501739,0.00461378986463,0.00303494707382,161040,8052
ridge,3,test,0.00479595697445,0.00300751879699,0.307649602553,0.0155890237941,0.503873319663,0.00503663561616,0.00306454312156,351120,17556
ridge,3,validation,0.0129773623622,0.012030075188,0.274981243252,0.0471936274952,0.514371812703,0.00351156476332,0.002361567699,172560,8628
