model,fold,candidate,validation_mean_rank_ic,selected
ridge,1,alpha=0.1,0.00568915263183,False
ridge,1,alpha=1.0,0.00567953807919,False
ridge,1,alpha=10.0,0.00565913376191,False
ridge,1,alpha=100.0,0.0056909990576,True
ridge,2,alpha=0.1,0.0136931641696,False
ridge,2,alpha=1.0,0.0136886820253,False
ridge,2,alpha=10.0,0.0136922287007,False
ridge,2,alpha=100.0,0.0136933471269,True
ridge,3,alpha=0.1,0.0129761423442,False
ridge,3,alpha=1.0,0.012976665209,False
ridge,3,alpha=10.0,0.0129773623622,True
ridge,3,alpha=100.0,0.0129337882547,False
