model,block_length_periods,block_hours,resamples,confidence_level,focus_cost_bps,observed_gross_annualized_return,gross_bootstrap_mean,gross_bootstrap_std,gross_confidence_lower,gross_confidence_upper,gross_probability_positive,observed_net_annualized_return,net_bootstrap_mean,net_bootstrap_std,net_confidence_lower,net_confidence_upper,net_probability_positive,observed_break_even_cost_bps,break_even_bootstrap_mean,break_even_bootstrap_std,break_even_confidence_lower,break_even_confidence_upper,break_even_probability_positive,probability_break_even_above_focus_cost,observed_mean_turnover,turnover_bootstrap_mean,turnover_confidence_lower,turnover_confidence_upper
lightgbm,24,24,1000,0.95,1,0.122022473595,0.126956914594,0.0882692932673,-0.0448183781119,0.295640093264,0.925,-0.171495206663,-0.166426776779,0.0883686944574,-0.335860585785,0.00346945502491,0.028,0.415724441158,0.432822802689,0.301001052363,-0.155884891643,1.01193955381,0.925,0.028,0.335065845043,0.334912889695,0.325129458458,0.345140448629
mlp,24,24,1000,0.95,1,0.0686198616738,0.068305979656,0.0718390188245,-0.0732801194599,0.206420952586,0.83,-1.23328914547,-1.23358309585,0.0717360268211,-1.37611051918,-1.0960884723,0,0.052707110326,0.0524619654121,0.0551749256949,-0.0562471003215,0.15872922173,0.83,0,1.48619749674,1.48617474372,1.48318323831,1.48933149524
momentum_12,24,24,1000,0.95,1,-0.823077061156,-0.825697527356,0.0951383508522,-1.00612070094,-0.63423484987,0,-2.18783316574,-2.19044257936,0.0959916858511,-2.37325937434,-1.9961161264,0,-0.603094617706,-0.604976888952,0.0693432743103,-0.73602057449,-0.465719099941,0,0,1.55794075866,1.55792814156,1.55498912981,1.56086827152
reversal_12,24,24,1000,0.95,1,0.821781783184,0.824520350968,0.0993573873161,0.624085651386,1.02036641931,1,-0.542865014789,-0.540208658189,0.0984635385532,-0.740642426717,-0.346468963558,0,0.602193757685,0.604116836436,0.0724134653809,0.45729544492,0.746517656216,1,0,1.55781597942,1.5579098278,1.55474892978,1.56088854815
ridge,24,24,1000,0.95,1,0.382950661798,0.383086677701,0.0825812356058,0.217923186589,0.540400521813,1,-0.837470266559,-0.837217284174,0.0824487163763,-1.00489809305,-0.679976448413,0,0.313785721713,0.31391957758,0.0676395182515,0.178197871984,0.443234837021,1,0,1.39317457575,1.39304105237,1.3894062428,1.39697578323
tcn,24,24,1000,0.95,1,-0.0536842065291,-0.0580303109246,0.0692878872759,-0.193683904893,0.0803595721796,0.209,-1.28850417889,-1.29267684732,0.0692560627972,-1.42857106019,-1.15376826141,0,-0.0434753305996,-0.047005174313,0.0561310252966,-0.157001714753,0.0650279784295,0.209,0,1.40961184059,1.40941385433,1.40402377044,1.41504021731
transformer,24,24,1000,0.95,1,0.238611104701,0.236677151798,0.081078142315,0.0808102244971,0.394749971235,1,-0.645212726213,-0.647226502372,0.0811164910841,-0.803636284434,-0.487682632029,0,0.269975866632,0.267761011044,0.0916965859257,0.0914636883236,0.447658928394,1,0,1.00893131383,1.00902243627,0.998262569109,1.01993180335
lightgbm,72,72,1000,0.95,1,0.122022473595,0.123512904873,0.0851547312852,-0.0408044686235,0.286145179465,0.925,-0.171495206663,-0.16994672937,0.0853609135746,-0.339842774197,-0.00774520365414,0.019,0.415724441158,0.421047124534,0.290327794654,-0.136845242197,0.973200223378,0.925,0.019,0.335065845043,0.334999582469,0.318500681487,0.350097903709
mlp,72,72,1000,0.95,1,0.0686198616738,0.0696683585163,0.0751813556472,-0.085422996517,0.211670824387,0.82,-1.23328914547,-1.23227428563,0.075067909055,-1.38807648535,-1.0909187109,0,0.052707110326,0.0535055522606,0.0577379937563,-0.06557449032,0.162349274729,0.82,0,1.48619749674,1.48623589515,1.48321659276,1.48935177187
momentum_12,72,72,1000,0.95,1,-0.823077061156,-0.825029363599,0.100350535099,-1.01931953676,-0.621549637034,0,-2.18783316574,-2.1897222301,0.101466083727,-2.38477977435,-1.98376110473,0,-0.603094617706,-0.604494276272,0.0730491746934,-0.744253704517,-0.456279843722,0,0,1.55794075866,1.55786856907,1.55430680335,1.56171317093
