model,top_count,selected_symbol_count,cohort_count,total_periods,equal_weighted_break_even_cost_bps,pooled_break_even_cost_bps,mean_individual_break_even_cost_bps,median_individual_break_even_cost_bps,worst_individual_break_even_cost_bps,best_individual_break_even_cost_bps,mean_gross_annualized_return,mean_zero_cost_sharpe,mean_turnover,positive_cohort_fraction
reversal_12,1,2,12,52092,0.710947071277,0.710947071277,0.710728733721,0.662749300915,0.338599986527,1.13931965732,1.10797064006,2.17418845132,1.77904476695,1
ridge,1,2,12,52092,0.474770110964,0.474770110964,0.472775969754,0.52196524732,-0.457814253693,1.25795509112,0.69817826686,1.52989678654,1.67872226062,0.833333333333
transformer,1,2,12,52092,0.0267062253419,0.0267062253419,0.0272202347042,-0.0437384193219,-0.486712231816,0.50000151923,0.0342494635942,0.0756761419155,1.4639867926,0.416666666667
mlp,1,2,12,52092,-0.0233315603475,-0.0233315603475,-0.0232753604788,0.0097793179894,-0.40656765095,0.233697112198,-0.0374732323883,-0.101882288322,1.83346771097,0.5
tcn,1,2,12,52092,-0.117738921412,-0.117738921412,-0.117744097964,-0.166341157719,-0.261640183141,0.234930106112,-0.181893587643,-0.449838346778,1.7635721416,0.166666666667
lightgbm,1,2,12,52092,-0.249512137349,-0.249512137349,-0.248778248919,-0.240880236722,-1.27704452356,0.490497374223,-0.153435537484,-0.359831936537,0.701988789065,0.25
momentum_12,1,2,12,52092,-0.709358933925,-0.709358933925,-0.709151869157,-0.681109243364,-1.1336153866,-0.339882902647,-1.10560297796,-2.16935928231,1.7792175382,0
reversal_12,2,4,12,52092,0.683865451365,0.683865451365,0.683525445332,0.708888581302,0.380560844936,1.00752213809,1.01652755458,3.07856779579,1.69685364355,1
ridge,2,4,12,52092,0.44853079146,0.44853079146,0.447911393218,0.393991905016,0.080984606579,1.0340959337,0.619540155925,2.0031421369,1.57678722261,1
lightgbm,2,4,12,52092,0.376945845407,0.376945845407,0.380057823037,0.47095667329,-0.293400764382,1.04331056585,0.172353950743,0.585476926038,0.521961145665,0.75
transformer,2,4,12,52092,0.184769498732,0.184769498732,0.184606411986,0.0890558057956,-0.445529730004,0.692127325202,0.207062570827,0.712171557665,1.27928472702,0.833333333333
tcn,2,4,12,52092,-0.0347502282501,-0.0347502282501,-0.0352111267615,-0.0605061077647,-0.337049492404,0.227519481205,-0.0491361943437,-0.181270508401,1.614134608,0.416666666667
mlp,2,4,12,52092,-0.0522691836511,-0.0522691836511,-0.0521994893664,-0.0344311610434,-0.260274462724,0.0910940473763,-0.0782608269053,-0.32440574854,1.70920678799,0.333333333333
momentum_12,2,4,12,52092,-0.680796160464,-0.680796160464,-0.680452399863,-0.703121715232,-0.997471003913,-0.381645934096,-1.0119995718,-3.06481348312,1.69691123397,0
lightgbm,3,6,12,52092,0.881792242945,0.881792242945,0.884583359419,0.808297046312,0.196230626003,1.81023388075,0.308033938995,1.22329724275,0.398775243799,1
reversal_12,3,6,12,52092,0.661241217633,0.661241217633,0.661086487486,0.639968140181,0.433959402242,0.859349955084,0.943009692901,3.64264892515,1.62799150221,1
ridge,3,6,12,52092,0.361378089765,0.361378089765,0.3609934427,0.297138674059,0.0909791160577,0.754403406963,0.469014788282,1.89461944032,1.48156466764,1
transformer,3,6,12,52092,0.262705367169,0.262705367169,0.262653375134,0.357149039085,-0.0603627306192,0.44995131338,0.260214840405,1.08625611538,1.13073024649,0.833333333333
mlp,3,6,12,52092,0.00614229366503,0.00614229366503,0.0062466798982,-0.00835858339249,-0.193144933746,0.216161569619,0.00858322975359,0.0411377023414,1.59520335816,0.5
tcn,3,6,12,52092,-0.0305445927031,-0.0305445927031,-0.0308305918649,0.017665972064,-0.323845755543,0.302044016616,-0.0402578435458,-0.185814930382,1.50456883975,0.5
momentum_12,3,6,12,52092,-0.66080690962,-0.66080690962,-0.660654817913,-0.639738861121,-0.855761957089,-0.43472925373,-0.942323642949,-3.63946668313,1.62787632138,0
reversal_12,4,8,12,52092,0.602193757685,0.602193757685,0.602025726264,0.571184659201,0.426940266136,0.813279676986,0.821781783184,3.75254554069,1.55781597942,1
lightgbm,4,8,12,52092,0.415724441158,0.415724441158,0.418440366841,0.287810757164,-0.320258243315,1.38251536616,0.122022473595,0.565060290416,0.335065845043,0.666666666667
ridge,4,8,12,52092,0.313785721713,0.313785721713,0.313638394732,0.29911609191,-0.0383173832055,0.640830567168,0.382950661798,1.81620408084,1.39317457575,0.916666666667
transformer,4,8,12,52092,0.269975866632,0.269975866632,0.270048834822,0.317732333973,-0.162073028492,0.454630622908,0.238611104701,1.14697552526,1.00893131383,0.916666666667
mlp,4,8,12,52092,0.052707110326,0.052707110326,0.052860460388,0.0578939180387,-0.138749371507,0.215990268231,0.0686198616738,0.40095740803,1.48619749674,0.75
tcn,4,8,12,52092,-0.0434753305996,-0.0434753305996,-0.0437478449262,-0.0194549242332,-0.295405813827,0.201181078123,-0.0536842065291,-0.292556512614,1.40961184059,0.416666666667
momentum_12,4,8,12,52092,-0.603094617706,-0.603094617706,-0.602938495381,-0.574258393071,-0.82085957671,-0.43264014324,-0.823077061156,-3.75816094707,1.55794075866,0
lightgbm,5,10,12,52092,0.695215073712,0.695215073712,0.698052673503,0.692583111936,0.00227856137642,1.35418412648,0.186420264454,0.992609569723,0.306104584197,1
reversal_12,5,10,12,52092,0.569849443659,0.569849443659,0.569671532377,0.557765222741,0.470321105822,0.739611709798,0.740539029628,3.84128720469,1.48348690778,1
transformer,5,10,12,52092,0.289597863197,0.289597863197,0.288912293327,0.33873383593,-0.0291931059776,0.480917448047,0.230117931133,1.23380175376,0.907091300008,0.916666666667
ridge,5,10,12,52092,0.260356646003,0.260356646003,0.260509462331,0.279239684366,0.0168100931266,0.548493457479,0.297672776587,1.60701128357,1.30516778008,1
mlp,5,10,12,52092,0.0589155786241,0.0589155786241,0.0591384049717,0.0629886493551,-0.119837013398,0.285220230268,0.0714117316414,0.457633917824,1.38367887584,0.583333333333
tcn,5,10,12,52092,-0.0511595175417,-0.0511595175417,-0.0513086393671,-0.0277472581808,-0.327635781502,0.195531168181,-0.0591582874852,-0.362006464982,1.32003378638,0.416666666667
momentum_12,5,10,12,52092,-0.570113961519,-0.570113961519,-0.569938896854,-0.55684070777,-0.734385923438,-0.469745139647,-0.740892366986,-3.84357599876,1.48350610458,0
lightgbm,6,12,12,52092,0.83468959273,0.83468959273,0.837078910764,0.802534460063,-0.123910225272,1.62125564103,0.196924733427,1.19263724729,0.269321584888,0.916666666667
reversal_12,6,12,12,52092,0.553917334818,0.553917334818,0.553680359277,0.550858235355,0.365007567364,0.716903826484,0.68181315975,3.94851041929,1.40512938647,1
transformer,6,12,12,52092,0.281818303187,0.281818303187,0.28071868454,0.272333729522,0.0456418264157,0.504998893474,0.202470761808,1.18846560927,0.820141928383,1
ridge,6,12,12,52092,0.231644491024,0.231644491024,0.231754988882,0.231219422183,-0.0846406922387,0.553711282402,0.247253777587,1.48769228666,1.21847564565,0.833333333333
mlp,6,12,12,52092,0.0736570721136,0.0736570721136,0.0738394536244,0.0767812288272,-0.124903098159,0.25570895939,0.0828881872371,0.591796728526,1.28461823952,0.583333333333
tcn,6,12,12,52092,-0.0279875010782,-0.0279875010782,-0.0281389369705,-0.0384478578857,-0.230295044591,0.292002258804,-0.0301612313806,-0.203905243269,1.23021449231,0.416666666667
momentum_12,6,12,12,52092,-0.555143576546,-0.555143576546,-0.55490925936,-0.549488932154,-0.723438263407,-0.366069682484,-0.683347427241,-3.95678502394,1.40518057795,0
lightgbm,8,16,12,52092,0.913130588661,0.913130588661,0.912490801054,0.699594604403,0.292357368498,1.68708979341,0.192608763811,1.53548695333,0.240790332489,1
reversal_12,8,16,12,52092,0.520875790161,0.520875790161,0.520637271541,0.545081721311,0.381158628586,0.724534986294,0.561862511373,3.94910035386,1.23137909852,1
transformer,8,16,12,52092,0.278440308212,0.278440308212,0.277898545139,0.333849653847,-0.0385063347768,0.467220274257,0.165462455611,1.1495346276,0.678364720111,0.916666666667
ridge,8,16,12,52092,0.229550878446,0.229550878446,0.229561789465,0.239664394504,-0.0185512267915,0.58102754793,0.210517086476,1.5339474259,1.04689779621,0.916666666667
mlp,8,16,12,52092,0.0497419398888,0.0497419398888,0.0499293130339,0.0687229646628,-0.119316546542,0.183681487791,0.0476497948711,0.401859693489,1.09353883514,0.666666666667
tcn,8,16,12,52092,-0.0202834705896,-0.0202834705896,-0.0204519951305,-0.0133583228763,-0.241940658672,0.297892418196,-0.0187336190591,-0.142698895637,1.05432695999,0.5
