model,top_count,cost_bps,cohort_count,total_periods,mean_cohort_sharpe,median_cohort_sharpe,worst_cohort_sharpe,best_cohort_sharpe,mean_annualized_net_return,median_annualized_net_return,worst_annualized_net_return,best_annualized_net_return,mean_annualized_volatility,mean_positive_fraction,mean_turnover,mean_cumulative_net_log_return,selected_symbol_count
lightgbm,1,0,12,52092,-0.359831936537,-0.349078003982,-1.87832027161,0.715127572255,-0.153435537484,-0.146499904004,-0.803004184341,0.300802684117,0.425286669848,0.516624433694,0.701988789065,-0.0760346653216,2
mlp,1,0,12,52092,-0.101882288322,0.0484133416394,-1.88032171294,1.06519042248,-0.0374732323883,0.0158970629881,-0.654875682824,0.375907053869,0.343122056777,0.508101051985,1.83346771097,-0.0185697833103,2
momentum_12,1,0,12,52092,-2.16935928231,-2.06472378756,-3.5116218471,-1.02125996633,-1.10560297796,-1.06195542927,-1.77609249452,-0.529013762136,0.510804345983,0.46243185134,1.7792175382,-0.547879283942,2
reversal_12,1,0,12,52092,2.17418845132,2.00867891495,1.01734680664,3.52832214668,1.10797064006,1.03293489378,0.527016955948,1.78433993038,0.510823365116,0.536973047685,1.77904476695,0.54905257403,2
ridge,1,0,12,52092,1.52989678654,1.65724842872,-1.44664014163,4.11304546741,0.69817826686,0.766080961755,-0.6709956033,1.85184551333,0.461976994229,0.504108116409,1.67872226062,0.34598080553,2
tcn,1,0,12,52092,-0.449838346778,-0.639671191582,-1.05281015705,0.90020276006,-0.181893587643,-0.257972303115,-0.405753838128,0.362387887689,0.403198653752,0.50220763265,1.7635721416,-0.0901369936024,2
transformer,1,0,12,52092,0.0756761419155,-0.135295088617,-1.54275306334,1.54081276674,0.0342494635942,-0.0562705947913,-0.629079764117,0.644641903426,0.413433114867,0.508753743377,1.4639867926,0.0169722513085,2
lightgbm,2,0,12,52092,0.585476926038,0.724273541279,-0.456502604162,1.60863644424,0.172353950743,0.21528882985,-0.134075024903,0.475181457193,0.293765585005,0.508005067957,0.521961145665,0.0854096461385,4
mlp,2,0,12,52092,-0.32440574854,-0.218335996525,-1.62017283738,0.536308363706,-0.0782608269053,-0.051411516649,-0.388115450969,0.135552475164,0.242566085227,0.50838900407,1.70920678799,-0.038781991963,4
momentum_12,2,0,12,52092,-3.06481348312,-3.16534746805,-4.55888024831,-1.69245004875,-1.0119995718,-1.04668412381,-1.48861414537,-0.567600080174,0.330528935547,0.462451048146,1.69691123397,-0.501494308352,4
reversal_12,2,0,12,52092,3.07856779579,3.21417558224,1.68751982248,4.60580062241,1.01652755458,1.05396951479,0.565909493413,1.50391931347,0.330514322203,0.537606542271,1.69685364355,0.503738140915,4
ridge,2,0,12,52092,2.0031421369,1.76959124539,0.357678253168,4.62938671083,0.619540155925,0.547824694957,0.111913002812,1.4292306362,0.309639596525,0.503954541964,1.57678722261,0.307011851241,4
tcn,2,0,12,52092,-0.181270508401,-0.310768170482,-1.78807124409,1.24652281039,-0.0491361943437,-0.0855510572674,-0.47522441092,0.325934314268,0.269742246475,0.505029563081,1.614134608,-0.0243493401422,4
transformer,2,0,12,52092,0.712171557665,0.347921350974,-1.74423516916,2.74605438874,0.207062570827,0.100169394472,-0.498396589507,0.781308911608,0.287746309345,0.510884588804,1.27928472702,0.102609431502,4
lightgbm,3,0,12,52092,1.22329724275,1.12224471783,0.278113231311,2.47598117841,0.308033938995,0.28013011738,0.0705517132524,0.628315040959,0.251574886399,0.517949013284,0.398775243799,0.152645585523,6
mlp,3,0,12,52092,0.0411377023414,-0.0691329005366,-1.35409385529,1.53459796628,0.00858322975359,-0.0115671682509,-0.268479911612,0.301113813409,0.19765106433,0.508753743377,1.59520335816,0.00425340186762,6
momentum_12,3,0,12,52092,-3.63946668313,-3.44309131774,-4.70156705266,-2.39690130871,-0.942323642949,-0.910476030974,-1.21901900987,-0.618299764923,0.258971668566,0.461510404669,1.62787632138,-0.466966544982,6
