model,cohort,period_count,gross_mean_return,mean_turnover,gross_cumulative_log_return,gross_annualized_return,total_turnover,break_even_cost_bps,positive_at_zero_cost
lightgbm,0,4341,4.62908565932e-05,0.334830684174,0.200948608471,0.405507903756,1453.5,1.38251536616,True
lightgbm,1,4341,2.51775660738e-05,0.336155263764,0.109295814326,0.220555478806,1459.25,0.748986221182,True
lightgbm,2,4341,1.67512252526e-05,0.334427551255,0.0727170688214,0.146740733213,1451.75,0.500892500923,True
lightgbm,3,4341,3.94859017352e-05,0.331778392076,0.171408299432,0.3458964992,1440.25,1.19012879314,True
lightgbm,4,4341,9.45626758514e-06,0.331605620825,0.0410496575871,0.0828369040458,1439.5,0.285166082578,True
lightgbm,5,4341,9.5497008746e-06,0.328783690394,0.0414552514967,0.0836553796615,1427.25,0.290455431751,True
lightgbm,6,4341,-1.10091076615e-05,0.343757198802,-0.0477905363587,-0.0964397831147,1492.25,-0.320258243315,False
lightgbm,7,4341,-3.76171445307e-06,0.340820087537,-0.0163296024408,-0.0329526186089,1479.5,-0.110372439614,False
lightgbm,8,4341,1.49178621623e-07,0.335176226676,0.000647584396466,0.00130680472542,1455,0.00445075186574,True
lightgbm,9,4341,-5.33555524248e-07,0.333851647086,-0.00231616453076,-0.00467394639241,1449.25,-0.015981814944,False
lightgbm,10,4341,-5.68538292645e-06,0.33529140751,-0.0246802472837,-0.0498039544357,1455.5,-0.169565422767,False
lightgbm,11,4341,4.12831372473e-05,0.334312370422,0.179210098791,0.361640282286,1451.25,1.23486717513,True
mlp,0,4341,1.22092249475e-05,1.48951854411,0.0530002454972,0.10695281054,6465.99999998,0.081967592789,True
mlp,1,4341,1.39818324663e-05,1.49798433541,0.060695134736,0.122480852405,6502.75000001,0.0933376413608,True
mlp,2,4341,-9.32126155772e-06,1.49585348998,-0.0404635964221,-0.0816542512456,6493.5,-0.062314000804,False
mlp,3,4341,-2.06597846136e-05,1.48900023036,-0.0896841250076,-0.180979713215,6463.74999999,-0.138749371507,False
mlp,4,4341,-5.70198894939e-06,1.48139829532,-0.0247523340293,-0.0499494231967,6430.74999998,-0.0384905866802,False
mlp,5,4341,4.43694545721e-06,1.48329877908,0.0192607802297,0.0388676422052,6438.99999999,0.0299126886624,True
mlp,6,4341,1.08735940097e-05,1.48468094909,0.0472022715959,0.095252683525,6445,0.0732385905289,True
mlp,7,4341,2.78768746972e-05,1.48462335867,0.121013513061,0.244201422347,6444.74999999,0.187770686313,True
mlp,8,4341,5.92222865803e-06,1.48825155494,0.0257083946045,0.0518787230443,6460.49999999,0.0397931965088,True
mlp,9,4341,3.18586889537e-05,1.47500575904,0.138298568748,0.279082115234,6402.99999999,0.215990268231,True
mlp,10,4341,1.62229139325e-05,1.48398986409,0.0704236693812,0.142112726049,6442.00000001,0.109319573705,True
mlp,11,4341,6.3005425106e-06,1.48076480074,0.0273506550385,0.0551927523929,6428.00000001,0.0425492455483,True
momentum_12,0,4341,-9.90355475304e-05,1.56139138447,-0.429913311829,-0.867551396366,6777.99999998,-0.634277532945,False
momentum_12,1,4341,-0.000128418857414,1.56444367657,-0.557466260033,-1.12494919095,6791.24999999,-0.820859576711,False
momentum_12,2,4341,-8.82221741751e-05,1.55712969362,-0.382972458094,-0.772826245774,6759.5,-0.566569210879,False
momentum_12,3,4341,-8.10041475099e-05,1.55684174153,-0.35163900434,-0.709596332187,6758.24999998,-0.520310737752,False
momentum_12,4,4341,-9.05698645121e-05,1.55632342778,-0.393163781847,-0.793392013126,6755.99999999,-0.581947575263,False
momentum_12,5,4341,-7.95495878764e-05,1.55021884358,-0.345324760972,-0.696854389797,6729.49999998,-0.513150696148,False
momentum_12,6,4341,-8.65439427831e-05,1.55327113568,-0.375687255622,-0.75812493878,6742.74999999,-0.557172156201,False
momentum_12,7,4341,-0.000125146765911,1.55810873071,-0.543262110818,-1.09628566938,6763.75000001,-0.803196615512,False
momentum_12,8,4341,-8.58069608268e-05,1.55217691776,-0.372488016949,-0.751668976843,6738,-0.552816884757,False
momentum_12,9,4341,-9.16524767694e-05,1.56225524073,-0.397863401656,-0.8028756965,6781.75000001,-0.586667750441,False
momentum_12,10,4341,-0.000104080169934,1.56357982032,-0.451812017684,-0.911742288622,6787.50000001,-0.665653064727,False
momentum_12,11,4341,-6.74723282593e-05,1.55954849113,-0.292897376974,-0.591057595551,6770,-0.432640143241,False
reversal_12,0,4341,0.00010069024326,1.56121861322,0.437096345992,0.882046530958,6777.24999999,0.644946469428,True
reversal_12,1,4341,0.000127242392218,1.56455885741,0.552359224617,1.11464335583,6791.75000002,0.813279676984,True
reversal_12,2,4341,8.84250275843e-05,1.55712969362,0.383853044743,0.774603241638,6759.5,0.567871950207,True
reversal_12,3,4341,8.03829801251e-05,1.55649619903,0.348942516723,0.704154905896,6756.74999999,0.516435441186,True
reversal_12,4,4341,8.93772857889e-05,1.55574752361,0.38798679761,0.782945023511,6753.49999999,0.574497368195,True
reversal_12,5,4341,7.71212947834e-05,1.54987330108,0.334783540655,0.675582542303,6727.99999999,0.497597414768,True
reversal_12,6,4341,8.60640657198e-05,1.55315595485,0.37360410929,0.753921215705,6742.25,0.554123785516,True
reversal_12,7,4341,0.000124502867611,1.55805114029,0.540466948301,1.09064512027,6763.5,0.799093588085,True
reversal_12,8,4341,8.71179929957e-05,1.55229209859,0.378179207594,0.763153618642,6738.49999998,0.561221648134,True
reversal_12,9,4341,9.34276001568e-05,1.56202487906,0.405569212281,0.818425777374,6780.75,0.598118515328,True
reversal_12,10,4341,0.000104788397553,1.56357982032,0.454886433776,0.917946362564,6787.50000001,0.670182591198,True
reversal_12,11,4341,6.65883223191e-05,1.55966367196,0.289059907187,0.583313703515,6770.49999998,0.426940266137,True
ridge,0,4341,4.19305564733e-05,1.36103432389,0.182020545651,0.367311674706,5908.25000001,0.308078611519,True
ridge,1,4341,8.94298911749e-05,1.39553098364,0.38821515759,0.783405846692,6057.99999998,0.640830567169,True
ridge,2,4341,1.39777294214e-05,1.38971435153,0.0606773234184,0.122444909731,6032.74999999,0.100579873886,True
ridge,3,4341,3.59122457001e-05,1.38372494817,0.155895058584,0.314591272333,6006.75000001,0.259533122877,True
ridge,4,4341,5.16012797141e-05,1.39518544114,0.224001155239,0.452027210296,6056.49999999,0.369852481201,True
ridge,5,4341,7.05266370072e-05,1.40520617369,0.306156131248,0.617813340183,6099.99999999,0.501895297129,True
ridge,6,4341,4.02294819923e-05,1.38648928818,0.174636181329,0.352410262253,6018.74999999,0.290153572302,True
ridge,7,4341,4.79627424167e-05,1.38896567611,0.208206264831,0.42015362357,6029.49999999,0.345312654169,True
ridge,8,4341,2.97264876047e-05,1.40031098825,0.129042682692,0.260404031417,6078.74999999,0.212284898527,True
ridge,9,4341,-5.36121184622e-06,1.39915917991,-0.0232730206244,-0.0469642157729,6073.74999999,-0.0383173832055,False
ridge,10,4341,3.27199201974e-05,1.41038931122,0.142037173577,0.286626500929,6122.50000001,0.231992116908,True
ridge,11,4341,7.59341878128e-05,1.40238424326,0.329630309295,0.66518348524,6087.74999999,0.541464924308,True
tcn,0,4341,1.13332996035e-05,1.38792904861,0.0491978535789,0.0992797045267,6025.00000002,0.0816561885125,True
tcn,1,4341,-3.90592257686e-05,1.39426399447,-0.169556099062,-0.342158817733,6052.49999999,-0.280142253717,False
tcn,2,4341,-1.1779718848e-06,1.40774015204,-0.00511357595191,-0.0103190337108,6111.00000001,-0.0083678218817,False
tcn,3,4341,6.40460090159e-06,1.42478691546,0.0278023725138,0.0561043038979,6185.00000001,0.0449512894321,True
tcn,4,4341,-3.8917594538e-05,1.41188666206,-0.168941277889,-0.340918128153,6129,-0.275642483095,False
tcn,5,4341,2.25547448882e-05,1.41430545957,0.0979101475596,0.197579565221,6139.49999999,0.159475767668,True
tcn,6,4341,-2.07178397264e-05,1.40157797742,-0.0899361422522,-0.181488276003,6084.24999998,-0.147817959901,False
tcn,7,4341,2.83094820482e-05,1.40716424787,0.122891461571,0.247991062742,6108.5,0.201181078122,True
tcn,8,4341,-4.32450049304e-06,1.41591799125,-0.0187726566403,-0.037882624319,6146.50000002,-0.0305420265846,False
tcn,9,4341,-1.74825944134e-05,1.41177148123,-0.0758919423487,-0.153147527061,6128.50000002,-0.123834449455,False
tcn,10,4341,-4.17589904757e-05,1.41361437457,-0.181275777655,-0.365808756567,6136.50000001,-0.295405813827,False
tcn,11,4341,2.12965809145e-05,1.42438378254,0.0924484577498,0.186558048811,6183.25000001,0.149514345611,True
transformer,0,4341,2.43725979316e-05,1.0023612071,0.105801447621,0.213503957881,4351.25000002,0.243151847447,True
transformer,1,4341,2.66745798428e-05,1.02401520387,0.115794351098,0.233669319423,4445.25,0.260490076144,True
transformer,2,4341,-1.6385579447e-05,1.01099976964,-0.0711298003793,-0.143537675956,4388.75000001,-0.162073028491,False
