model,cost_bps,cohort_count,total_periods,mean_cohort_net_return,median_cohort_net_return,worst_cohort_net_return,best_cohort_net_return,mean_cohort_annualized_net_return,median_cohort_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction,pooled_mean_net_return,pooled_annualized_net_return,pooled_cumulative_net_log_return,mean_turnover
lightgbm,0,12,52092,1.39295061182e-05,9.50298422987e-06,-1.10091076615e-05,4.62908565932e-05,0.122022473595,0.0832461418537,-0.0964397831147,0.405507903756,0.666666666667,1.39295061182e-05,0.122022473595,0.725615832708,0.335065845043
lightgbm,0.1,12,52092,1.05788476677e-05,6.20103767377e-06,-1.44466796495e-05,4.29425497515e-05,0.0926707055695,0.0543210900223,-0.12655291373,0.376176735823,0.583333333333,1.05788476677e-05,0.0926707055695,0.551073332708,0.335065845043
lightgbm,0.2,12,52092,7.22818921731e-06,2.89909111768e-06,-1.78842516375e-05,3.95942429097e-05,0.0633189375437,0.0253960381909,-0.156666044345,0.346845567889,0.583333333333,7.22818921731e-06,0.0633189375437,0.376530832708,0.335065845043
lightgbm,0.3,12,52092,3.87753076688e-06,-4.02855438415e-07,-2.13218236256e-05,3.6245936068e-05,0.0339671695179,-0.00352901364052,-0.18677917496,0.317514399956,0.416666666667,3.87753076688e-06,0.0339671695179,0.201988332708,0.335065845043
lightgbm,0.4,12,52092,5.26872316446e-07,-3.70480199451e-06,-2.47593956136e-05,3.28976292262e-05,0.00461540149207,-0.0324540654719,-0.216892305575,0.288183232022,0.416666666667,5.26872316446e-07,0.00461540149207,0.0274458327083,0.335065845043
lightgbm,0.5,12,52092,-2.82378613399e-06,-7.00674855061e-06,-2.81969676016e-05,2.95493223845e-05,-0.0247363665337,-0.0613791173033,-0.24700543619,0.258852064088,0.416666666667,-2.82378613399e-06,-0.0247363665337,-0.147096667292,0.335065845043
lightgbm,0.6,12,52092,-6.17444458442e-06,-1.03086951067e-05,-3.16345395896e-05,2.62010155428e-05,-0.0540881345595,-0.0903041691347,-0.277118566805,0.229520896155,0.333333333333,-6.17444458442e-06,-0.0540881345595,-0.321639167292,0.335065845043
lightgbm,0.7,12,52092,-9.52510303486e-06,-1.36106416628e-05,-3.50721115776e-05,2.2852708701e-05,-0.0834399025853,-0.119229220966,-0.30723169742,0.200189728221,0.333333333333,-9.52510303486e-06,-0.0834399025853,-0.496181667292,0.335065845043
lightgbm,0.8,12,52092,-1.28757614853e-05,-1.69125882189e-05,-3.85096835657e-05,1.95044018593e-05,-0.112791670611,-0.148154272797,-0.337344828035,0.170858560287,0.25,-1.28757614853e-05,-0.112791670611,-0.670724167292,0.335065845043
lightgbm,0.9,12,52092,-1.62264199357e-05,-2.0214534775e-05,-4.19472555537e-05,1.61560950175e-05,-0.142143438637,-0.177079324629,-0.36745795865,0.141527392354,0.25,-1.62264199357e-05,-0.142143438637,-0.845266667292,0.335065845043
lightgbm,1,12,52092,-1.95770783862e-05,-2.35164813311e-05,-4.53848275417e-05,1.28077881758e-05,-0.171495206663,-0.20600437646,-0.397571089265,0.11219622442,0.25,-1.95770783862e-05,-0.171495206663,-1.01980916729,0.335065845043
lightgbm,1.1,12,52092,-2.29277368366e-05,-2.68184278872e-05,-4.88223995297e-05,9.45948133406e-06,-0.200846974689,-0.234929428292,-0.42768421988,0.0828650564864,0.25,-2.29277368366e-05,-0.200846974689,-1.19435166729,0.335065845043
lightgbm,1.2,12,52092,-2.6278395287e-05,-3.01203744433e-05,-5.22599715177e-05,6.11117449232e-06,-0.230198742714,-0.263854480123,-0.457797350495,0.0535338885527,0.166666666667,-2.6278395287e-05,-0.230198742714,-1.36889416729,0.335065845043
lightgbm,1.3,12,52092,-2.96290537375e-05,-3.34223209994e-05,-5.56975435058e-05,2.76286765058e-06,-0.25955051074,-0.292779531954,-0.48791048111,0.0242027206191,0.0833333333333,-2.96290537375e-05,-0.25955051074,-1.54343666729,0.335065845043
lightgbm,1.4,12,52092,-3.29797121879e-05,-3.67242675555e-05,-5.91351154938e-05,-5.8543919116e-07,-0.288902278766,-0.321704583786,-0.518023611726,-0.00512844731456,0,-3.29797121879e-05,-0.288902278766,-1.71797916729,0.335065845043
lightgbm,1.5,12,52092,-3.63303706383e-05,-4.00262141116e-05,-6.25726874818e-05,-3.9337460329e-06,-0.318254046792,-0.350629635617,-0.548136742341,-0.0344596152482,0,-3.63303706383e-05,-0.318254046792,-1.89252166729,0.335065845043
lightgbm,1.6,12,52092,-3.96810290888e-05,-4.33281606677e-05,-6.60102594698e-05,-7.28205287464e-06,-0.347605814818,-0.379554687449,-0.578249872956,-0.0637907831818,0,-3.96810290888e-05,-0.347605814818,-2.06706416729,0.335065845043
lightgbm,1.7,12,52092,-4.30316875392e-05,-4.66301072237e-05,-6.94478314578e-05,-1.06303597164e-05,-0.376957582843,-0.40847973928,-0.608363003571,-0.0931219511155,0,-4.30316875392e-05,-0.376957582843,-2.24160666729,0.335065845043
