model,horizon_bars,horizon_minutes,cohort_count,total_periods,equal_weighted_break_even_cost_bps,pooled_break_even_cost_bps,mean_individual_break_even_cost_bps,median_individual_break_even_cost_bps,worst_individual_break_even_cost_bps,best_individual_break_even_cost_bps,mean_zero_cost_sharpe,mean_gross_annualized_return,mean_turnover,positive_cohort_fraction
reversal_12,3,15,3,52092,0.583023933538,0.583023933538,0.582938827302,0.597308022239,0.500818284425,0.650690175243,7.47198040595,1.71339116566,0.838698840513,1
lightgbm,3,15,3,52092,0.437132703851,0.437132703851,0.439330677957,0.435100796997,0.147606509797,0.735284727077,1.44494807168,0.323142572354,0.210968094909,1
ridge,3,15,3,52092,0.185648468516,0.185648468516,0.185581375317,0.160337717138,0.141706533878,0.254699874935,3.99772383698,0.889446730785,1.36730208093,1
transformer,3,15,3,52092,0.0963165442281,0.0963165442281,0.0965168826005,0.075473635281,0.0373957386524,0.176681273868,1.64056818411,0.354169578525,1.04941257775,1
mlp,3,15,3,52092,0.0663985160057,0.0663985160057,0.0662876364349,0.0721141648391,-0.00273608856334,0.129484833029,1.83819092688,0.328789360213,1.41317284804,0.666666666667
tcn,3,15,3,52092,0.000732081893055,0.000732081893055,0.000737114500584,0.0107030534215,-0.0349123402678,0.026420630348,0.0159845905872,0.00350125594104,1.36489768103,0.666666666667
momentum_12,3,15,3,52092,-0.582854144396,-0.582854144396,-0.582766370224,-0.59734739083,-0.650388133747,-0.500563586096,-7.47114961647,-1.71347047826,0.838981993396,0
reversal_12,6,30,6,52092,0.694749764645,0.694749764645,0.69441464724,0.652576652982,0.575581728939,0.943158422597,6.18636201461,1.38415438931,1.13716117638,1
lightgbm,6,30,6,52092,0.402656661019,0.402656661019,0.403010885824,0.41789492553,-0.100789737574,0.722662159687,0.849028387539,0.187075713162,0.26518467327,0.833333333333
ridge,6,30,6,52092,0.281472130766,0.281472130766,0.281481142246,0.310710498886,0.122587620754,0.386477096912,3.13449278595,0.675299720857,1.36938973355,1
transformer,6,30,6,52092,0.138262005412,0.138262005412,0.137951235595,0.104898324716,0.0551881912469,0.275482384323,1.20068203837,0.254634628752,1.05118828227,1
mlp,6,30,6,52092,0.0677143144706,0.0677143144706,0.067508222627,0.0539057883542,0.00724036956304,0.171555523198,0.986855731696,0.171891289801,1.44890290256,1
tcn,6,30,6,52092,-0.0197980273675,-0.0197980273675,-0.0199377592841,0.00451891069111,-0.162108134775,0.0927812627042,-0.263033835194,-0.0478229583137,1.3787337787,0.5
momentum_12,6,30,6,52092,-0.693799682657,-0.693799682657,-0.693472430589,-0.649134722092,-0.946808096082,-0.576688999541,-6.17756800116,-1.38236653983,1.13724756201,0
reversal_12,12,60,12,52092,0.602193757685,0.602193757685,0.602025726264,0.571184659201,0.426940266136,0.813279676986,3.75254554069,0.821781783184,1.55781597942,1
lightgbm,12,60,12,52092,0.415724441158,0.415724441158,0.418440366841,0.287810757164,-0.320258243315,1.38251536616,0.565060290416,0.122022473595,0.335065845043,0.666666666667
ridge,12,60,12,52092,0.313785721713,0.313785721713,0.313638394732,0.29911609191,-0.0383173832055,0.640830567168,1.81620408084,0.382950661798,1.39317457575,0.916666666667
transformer,12,60,12,52092,0.269975866632,0.269975866632,0.270048834822,0.317732333973,-0.162073028492,0.454630622908,1.14697552526,0.238611104701,1.00893131383,0.916666666667
mlp,12,60,12,52092,0.052707110326,0.052707110326,0.052860460388,0.0578939180387,-0.138749371507,0.215990268231,0.40095740803,0.0686198616738,1.48619749674,0.75
tcn,12,60,12,52092,-0.0434753305996,-0.0434753305996,-0.0437478449262,-0.0194549242332,-0.295405813827,0.201181078123,-0.292556512614,-0.0536842065291,1.40961184059,0.416666666667
momentum_12,12,60,12,52092,-0.603094617706,-0.603094617706,-0.602938495381,-0.574258393071,-0.82085957671,-0.43264014324,-3.75816094707,-0.823077061156,1.55794075866,0
lightgbm,24,120,24,52056,0.784819288387,0.784819288387,0.78893831111,0.933064722926,-1.02144030141,2.65962547454,0.642155979602,0.135911211431,0.395377093899,0.708333333333
reversal_12,24,120,24,52056,0.750233599688,0.750233599688,0.748851565069,0.711598471317,0.21873174992,1.60812330398,2.36500556718,0.506208598956,1.54049004918,1
transformer,24,120,24,52056,0.460471597042,0.460471597042,0.459113966289,0.517668327422,-0.252988525126,1.30150720146,1.0512011486,0.215195676827,1.0669807515,0.833333333333
ridge,24,120,24,52056,0.345015573482,0.345015573482,0.344742315201,0.434400096158,-0.19696162082,0.925726110348,1.04258076609,0.212567540604,1.40664380667,0.791666666667
mlp,24,120,24,52056,0.02953118709,0.02953118709,0.0294875246131,0.0556181690919,-0.484198231476,0.461538143557,0.113818909052,0.0196255560831,1.51728427079,0.666666666667
tcn,24,120,24,52056,-0.137342983948,-0.137342983948,-0.138031316641,-0.14357796117,-0.80670063605,0.493716448804,-0.479838595389,-0.0850306465467,1.41349700323,0.375
momentum_12,24,120,24,52056,-0.749798810021,-0.749798810021,-0.748476437255,-0.718827585788,-1.60100486296,-0.208249781845,-2.3634177222,-0.505888418826,1.54040840633,0
