model,horizon_bars,horizon_minutes,fold,mean_rank_ic,median_rank_ic,rank_ic_std,rank_ic_ir,positive_timestamp_fraction,rmse,mae,n_rows,n_timestamps
lightgbm,3,15,1,0.0102756556351,0.0144564332065,0.297805963951,0.0345045327461,0.515078194158,0.00222217454462,0.001453933344,339600,16980
lightgbm,3,15,2,0.00699987568146,0.00641314760325,0.31605856673,0.0221474005716,0.503827493261,0.00191170301915,0.00128975200649,351120,17556
lightgbm,3,15,3,0.00565855562855,0,0.331567661903,0.0170660660816,0.490736296439,0.00259424834367,0.00156669822706,351120,17556
mlp,3,15,1,-0.00113796213133,-0.00300751879699,0.262883351033,-0.00432877216021,0.494228504122,0.00233816236994,0.00159831543057,339600,16980
mlp,3,15,2,0.0275578682656,0.0301035084487,0.266339356445,0.103469005232,0.541068580542,0.00194420796666,0.0013267091396,351120,17556
mlp,3,15,3,0.00785839875618,0.00902255639098,0.263352918472,0.0298398012894,0.511904761905,0.00262830508741,0.00160998695573,351120,17556
momentum_12,3,15,1,-0.0346125745643,-0.0360902255639,0.312533415571,-0.110748396299,0.454004711425,0.00882887744054,0.00575416334176,339600,16980
momentum_12,3,15,2,-0.0488944459809,-0.049698851542,0.298684138557,-0.163699506164,0.431704260652,0.00659450733957,0.00452731489718,351120,17556
momentum_12,3,15,3,-0.0385160691203,-0.0406015037594,0.315604722579,-0.122038950512,0.451982228298,0.00847427114135,0.00551155671611,351120,17556
reversal_12,3,15,1,0.0346125745643,0.0360902255639,0.312533415571,0.110748396299,0.544110718492,0.00877954128607,0.005728997442,339600,16980
reversal_12,3,15,2,0.0488944459809,0.049698851542,0.298684138557,0.163699506164,0.566131237184,0.00652559099755,0.00447871325473,351120,17556
reversal_12,3,15,3,0.0385160691203,0.0406015037594,0.315604722579,0.122038950512,0.546308954204,0.00842166895326,0.00546908172356,351120,17556
ridge,3,15,1,0.0156587996216,0.015037593985,0.293904652194,0.0532785020745,0.517962308598,0.00223385108154,0.00146172630182,339600,16980
ridge,3,15,2,0.0231202608657,0.0240964128688,0.273656867452,0.0844863170474,0.534916837548,0.00191638253416,0.00129408585851,351120,17556
ridge,3,15,3,0.0203827780832,0.0195525488539,0.307106288943,0.0663704353088,0.522100706311,0.00259821158957,0.00157003213017,351120,17556
tcn,3,15,1,0.00322254886149,0.0015037593985,0.266961889466,0.0120711943864,0.501295641932,0.00228069281827,0.00151592736014,339600,16980
tcn,3,15,2,-0.00261828766078,-0.00300751879699,0.258637759204,-0.0101233774559,0.494987468672,0.00221265859898,0.00155725712948,351120,17556
tcn,3,15,3,-0.00164765640617,-0.00150432504057,0.285220740571,-0.00577677627114,0.496582365003,0.0026161455432,0.00158926944399,351120,17556
transformer,3,15,1,0.0139888810485,0.018045112782,0.35733835889,0.0391474374371,0.51566548881,0.00237311698811,0.00161985377566,339600,16980
transformer,3,15,2,0.023152340086,0.0244588880191,0.333906852557,0.0693377207107,0.527511961722,0.00200346374645,0.00137929114166,351120,17556
transformer,3,15,3,0.00535962910851,0.0105263157895,0.267484277576,0.0200371743606,0.512132604238,0.00290055303658,0.00190131146525,351120,17556
lightgbm,6,30,1,0.0101510850845,0.016820639026,0.303050607663,0.0334963363472,0.516671584538,0.00310477048727,0.00204441333652,339600,16980
lightgbm,6,30,2,0.010290272082,0.0143119660381,0.31801970288,0.0323573413497,0.508140161725,0.00265435356331,0.00179766705742,351120,17556
lightgbm,6,30,3,0.0102047057637,0,0.332297671961,0.0307095313172,0.495920130556,0.00361434334693,0.00218590723281,351120,17556
mlp,6,30,1,0.00135469843172,0.0015037593985,0.262812713665,0.00515461528793,0.501177856302,0.00318885214436,0.0021521058424,339600,16980
mlp,6,30,2,0.0274612312407,0.0270676691729,0.264512575129,0.103818244661,0.538505354295,0.0026765951502,0.0018232276701,351120,17556
mlp,6,30,3,0.00556383843885,0.00751879699248,0.263861406389,0.0210862153545,0.509170653907,0.00363956858565,0.00221672081428,351120,17556
momentum_12,6,30,1,-0.0395672716835,-0.0436172243665,0.31439671203,-0.125851416918,0.44652532391,0.00910325194911,0.00599050116769,339600,16980
momentum_12,6,30,2,-0.0523245957306,-0.0571428571429,0.302225560814,-0.173130940976,0.426406926407,0.00686070163102,0.00474377361351,351120,17556
momentum_12,6,30,3,-0.0390540389633,-0.0436090225564,0.314518136061,-0.124171023816,0.4495898838,0.00884928515028,0.00578093953528,351120,17556
reversal_12,6,30,1,0.0395672716835,0.0436172243665,0.31439671203,0.125851416918,0.551590106007,0.00903147148345,0.00594525603639,339600,16980
reversal_12,6,30,2,0.0523245957306,0.0571428571429,0.302225560814,0.173130940976,0.572055137845,0.00676632597086,0.00466779677387,351120,17556
reversal_12,6,30,3,0.0390540389633,0.0436090225564,0.314518136061,0.124171023816,0.548701298701,0.00878030806284,0.00570695534167,351120,17556
ridge,6,30,1,0.0189925736383,0.0210526315789,0.294516266061,0.0644873503673,0.526972909305,0.00311217141519,0.00204866678138,339600,16980
ridge,6,30,2,0.0187695713775,0.0195488721805,0.274959319717,0.0682630848696,0.525575301891,0.00265732977902,0.00180046152747,351120,17556
ridge,6,30,3,0.0129493745437,0.0105263157895,0.306948756512,0.0421874148989,0.512759170654,0.00361622162972,0.00218742907662,351120,17556
tcn,6,30,1,0.000488332364524,0,0.268941724372,0.00181575531155,0.499116607774,0.00314779883582,0.00209033282616,339600,16980
tcn,6,30,2,-0.00115936527132,-0.0015060258043,0.254960892809,-0.00454722784558,0.496126680337,0.0028776702185,0.00200984799909,351120,17556
tcn,6,30,3,-0.00199831924736,0.0015037593985,0.284844698192,-0.00701546934188,0.500797448166,0.00362965853306,0.00220212003931,351120,17556
transformer,6,30,1,0.013272433425,0.0157894736842,0.36404415895,0.0364583062211,0.514546525324,0.00321234753281,0.00216440457783,339600,16980
transformer,6,30,2,0.0254519776291,0.0271084644774,0.339341801987,0.0750039561294,0.527967646389,0.0027194713419,0.0018593646104,351120,17556
transformer,6,30,3,0.00437826641299,0.00451127819549,0.269093219199,0.0162704449634,0.504158122579,0.00384300929645,0.00244808152112,351120,17556
lightgbm,12,60,1,0.00768789005183,0.0121419682099,0.300445071589,0.0255883380319,0.511714370021,0.00432873840565,0.00286213096379,339600,16980
