model,horizon_bars,horizon_minutes,mean_rank_ic,median_rank_ic,rank_ic_std,rank_ic_ir,positive_timestamp_fraction,rmse,mae,n_rows,n_timestamps
reversal_12,3,15,0.0407413906016,0.0421052631579,0.309042268062,0.131831127363,0.552272901789,0.00796112801639,0.00522003119873,1041840,52092
ridge,3,15,0.0197655257883,0.0195488721805,0.291868351858,0.0677206886682,0.525071028181,0.00226702558689,0.0014417294021,1041840,52092
transformer,3,15,0.0141689190544,0.0165413533835,0.32149680434,0.0440717259492,0.518467327037,0.00245435848112,0.00163363619131,1041840,52092
mlp,3,15,0.0115650270069,0.012030075188,0.264477019392,0.0437279088879,0.515971742302,0.00232036021531,0.00151071244453,1041840,52092
lightgbm,3,15,0.00813358096092,0.00968711243683,0.312354450469,0.026039587234,0.505308840789,0.00226041416052,0.00143660501577,1041840,52092
tcn,3,15,-0.000387277017032,-0.000752162520285,0.270547020897,-0.00143145918128,0.497581202488,0.00237742287049,0.00155457396719,1041840,52092
momentum_12,3,15,-0.0407413906016,-0.0421052631579,0.309042268062,-0.131831127363,0.445807417646,0.00801666962677,0.00525892888708,1041840,52092
reversal_12,6,30,0.0436937645679,0.0481203007519,0.310444697621,0.140745726704,0.557513629732,0.00824619724533,0.00543441594944,1041840,52092
ridge,6,30,0.0168807439717,0.0165413533835,0.292422797414,0.0577271817415,0.521711587192,0.00315344018391,0.00201178241176,1041840,52092
transformer,6,30,0.0143796683552,0.015037593985,0.326317479125,0.04406649743,0.515568609383,0.00329141782191,0.00215720483023,1041840,52092
mlp,6,30,0.011571659807,0.012030075188,0.263983663006,0.0438347573301,0.516451662443,0.00319271081232,0.00206304409114,1041840,52092
lightgbm,6,30,0.0102015675481,0.0121915599329,0.315390451167,0.0323458351713,0.508611512951,0.00314948919831,0.00200894127108,1041840,52092
tcn,6,30,-0.000905022380794,0,0.269865636101,-0.00335360364465,0.49867542041,0.00323430352515,0.00210088232877,1041840,52092
momentum_12,6,30,-0.0436937645679,-0.0481203007519,0.310444697621,-0.140745726704,0.440777854565,0.00832269994421,0.00549970386753,1041840,52092
reversal_12,12,60,0.0440668064672,0.0481203007519,0.31007253092,0.142117737216,0.556054672502,0.00878864617886,0.00582358006598,1041840,52092
transformer,12,60,0.0168335729212,0.018045112782,0.3262845796,0.0515916901186,0.518505720648,0.00448746469728,0.00291387396721,1041840,52092
lightgbm,12,60,0.013537118644,0.0198928670005,0.312684790796,0.0432931790815,0.513934001146,0.00438428613289,0.00280780960753,1041840,52092
mlp,12,60,0.0112871142428,0.0135338345865,0.263326851953,0.0428635141425,0.519062428012,0.00441533148298,0.00284630019854,1041840,52092
ridge,12,60,0.00971280700294,0.0105263157895,0.29133977891,0.0333384168797,0.512573907702,0.0043867221529,0.00280944434895,1041840,52092
tcn,12,60,0.00161125713583,0.00300808443907,0.270727044054,0.00595159283574,0.504492052522,0.00444654036369,0.00287820837475,1041840,52092
momentum_12,12,60,-0.0440668064672,-0.0481203007519,0.31007253092,-0.142117737216,0.442620747908,0.00886737997892,0.00592051764533,1041840,52092
reversal_12,24,120,0.0392638385132,0.0421052631579,0.310306998675,0.126532236401,0.552577992931,0.00977176695588,0.00652027038234,1041120,52056
transformer,24,120,0.0215825081242,0.0210526315789,0.325057442849,0.0663959819994,0.524319963117,0.00621601020264,0.00400620579825,1041120,52056
lightgbm,24,120,0.0144954260869,0.0176631498808,0.313304673106,0.0462662300669,0.51161774744,0.00614431918748,0.00393321391423,1041120,52056
mlp,24,120,0.0120616455157,0.012030075188,0.261845857856,0.0460639156735,0.517269863224,0.00616651131554,0.00396098223534,1041120,52056
ridge,24,120,0.00376431344999,0.00451127819549,0.291471186432,0.0129148733227,0.504879360688,0.00614583368379,0.00393390175399,1041120,52056
tcn,24,120,0.00250659625612,0.00451127819549,0.269177817043,0.00931204615467,0.504399108652,0.00618947646527,0.00398650698419,1041120,52056
momentum_12,24,120,-0.0392638385132,-0.0421052631579,0.310306998675,-0.126532236401,0.44557783925,0.00987194155561,0.00664531258171,1041120,52056
