model,horizon_bars,horizon_minutes,cost_bps,cohort,period_count,mean_net_return,annualized_net_return,annualized_volatility,annualized_sharpe,positive_fraction,mean_turnover,cumulative_net_log_return
lightgbm,3,15,0,0,17364,9.29011866428e-06,0.325525757996,0.223375785794,1.45730100888,0.512842662981,0.213516470859,0.161313620487
lightgbm,3,15,0,1,17364,3.12975274962e-06,0.109666536347,0.226887905463,0.483351177856,0.505816632112,0.212033517623,0.0543450267444
lightgbm,3,15,0,2,17364,1.52464447123e-05,0.534235422718,0.223138084332,2.39419202831,0.51059663672,0.207354296245,0.264739265984
lightgbm,3,15,0.25,0,17364,3.9522068928e-06,0.138485329524,0.223377123316,0.619962006262,0.510423865469,0.213516470859,0.0686261204865
lightgbm,3,15,0.25,1,17364,-2.17108519095e-06,-0.0760748250908,0.2268959235,-0.335285111857,0.503685786685,0.212033517623,-0.0376987232556
lightgbm,3,15,0.25,2,17364,1.00625873062e-05,0.352593059208,0.223141455068,1.58013247292,0.508293020041,0.207354296245,0.174726765984
lightgbm,3,15,0.5,0,17364,-1.38570487868e-06,-0.0485550989491,0.223389399988,-0.217356324658,0.508465791292,0.213516470859,-0.0240613795135
lightgbm,3,15,0.5,1,17364,-7.47192313151e-06,-0.261816186528,0.226914340236,-1.15381066819,0.501727712509,0.212033517623,-0.129742473256
lightgbm,3,15,0.5,2,17364,4.87872990002e-06,0.170950695697,0.223155097592,0.766062247924,0.506450126699,0.207354296245,0.084714265984
lightgbm,3,15,1,0,17364,-1.20615284216e-05,-0.422635955894,0.22344676197,-1.89143916058,0.504434462106,0.213516470859,-0.209436379513
lightgbm,3,15,1,1,17364,-1.80735990126e-05,-0.633298909403,0.226982358246,-2.79007987359,0.497293250403,0.212033517623,-0.313829973256
lightgbm,3,15,1,2,17364,-5.48898491223e-06,-0.192334031325,0.223213189049,-0.861660693724,0.501151808339,0.207354296245,-0.095310734016
lightgbm,3,15,2,0,17364,-3.34131755076e-05,-1.17079766979,0.223692569007,-5.23395870941,0.495335176227,0.213516470859,-0.580186379513
lightgbm,3,15,2,1,17364,-3.92769507749e-05,-1.37626435515,0.227242971794,-6.05635608568,0.488251554941,0.212033517623,-0.682004973256
lightgbm,3,15,2,2,17364,-2.62244145367e-05,-0.918903485367,0.223452455752,-4.11229978331,0.491361437457,0.207354296245,-0.455360734016
lightgbm,3,15,5,0,17364,-9.74681167653e-05,-3.41528281146,0.225471223979,-15.1473112674,0.469822621516,0.213516470859,-1.69243637951
lightgbm,3,15,5,1,17364,-0.000102887006062,-3.6051606924,0.229014296154,-15.742077036,0.463775627736,0.212033517623,-1.78652997326
lightgbm,3,15,5,2,17364,-8.84307034103e-05,-3.0986118475,0.225148198764,-13.7625433581,0.467922137756,0.207354296245,-1.53551073402
