model,horizon_bars,horizon_minutes,cost_bps,cohort_count,total_periods,mean_cohort_sharpe,median_cohort_sharpe,worst_cohort_sharpe,best_cohort_sharpe,mean_annualized_net_return,median_annualized_net_return,worst_annualized_net_return,best_annualized_net_return,mean_annualized_volatility,mean_positive_fraction,mean_turnover,mean_cumulative_net_log_return
lightgbm,3,15,0,3,52092,1.44494807168,1.45730100888,0.483351177856,2.39419202831,0.323142572354,0.325525757996,0.109666536347,0.534235422718,0.224467258529,0.509751977271,0.210968094909,0.160132637738
mlp,3,15,0,3,52092,1.83819092688,2.01030171249,-0.0772816429091,3.58155271106,0.328789360213,0.357170693652,-0.0135130649152,0.6427104519,0.177325068251,0.508657759349,1.41317284804,0.162930891859
momentum_12,3,15,0,3,52092,-7.47114961647,-7.61613317894,-8.38485435292,-6.41246131755,-1.71347047826,-1.7488350078,-1.92046086743,-1.47111555956,0.229358936709,0.466443983721,0.838981993396,-0.849106774674
reversal_12,3,15,0,3,52092,7.47198040595,7.612137339,6.41654424682,8.38725963202,1.71339116566,1.7478760056,1.47153564068,1.9207618507,0.229320351208,0.533997542809,0.838698840513,0.849067471477
ridge,3,15,0,3,52092,3.99772383698,3.39161104401,3.14395488041,5.45760558653,0.889446730785,0.762614383751,0.681819861544,1.22390594706,0.221992338866,0.510635030331,1.36730208093,0.44076349981
tcn,3,15,0,3,52092,0.0159845905872,0.263719012053,-0.86814650084,0.652381260549,0.00350125594104,0.0511456022041,-0.167048720128,0.126406885747,0.193374005055,0.5010174307,1.36489768103,0.00173504018722
transformer,3,15,0,3,52092,1.64056818411,1.3075295181,0.642994368707,2.97118066554,0.354169578525,0.277199797158,0.138220671626,0.647088266791,0.214918337867,0.511249328112,1.04941257775,0.175508006892
lightgbm,6,30,0,6,52092,0.849028387539,0.889248853505,-0.212076079136,1.48496509866,0.187075713162,0.195375957765,-0.0464594718395,0.329869555717,0.220054886343,0.51134531214,0.26518467327,0.0927049852552
mlp,6,30,0,6,52092,0.986855731696,0.80328558517,0.105930363853,2.51941331243,0.171891289801,0.136771557706,0.0183632634624,0.438133955295,0.173597104753,0.511057360055,1.44890290256,0.0851803754594
momentum_12,6,30,0,6,52092,-6.17756800116,-5.80775554019,-8.49468486508,-5.08199893264,-1.38236653983,-1.29374488209,-1.89400616979,-1.13877784372,0.223852376772,0.460953697305,1.13724756201,-0.685028898335
reversal_12,6,30,0,6,52092,6.18636201461,5.84023300226,5.07148994221,8.46288754337,1.38415438931,1.30043873295,1.13653326023,1.88680048275,0.223823143525,0.539295861169,1.13716117638,0.685914863472
ridge,6,30,0,6,52092,3.13449278595,3.45462046467,1.33177636134,4.2655114318,0.675299720857,0.743619107161,0.294194193301,0.925388559831,0.215776675395,0.511537280197,1.36938973355,0.334643389069
tcn,6,30,0,6,52092,-0.263033835194,0.0600577086652,-2.1245255206,1.18329696456,-0.0478229583137,0.0110662953947,-0.393912460697,0.22479726562,0.188034255171,0.499462489442,1.3787337787,-0.023698568726
transformer,6,30,0,6,52092,1.20068203837,0.928275832212,0.484097158194,2.39292114516,0.254634628752,0.194091532854,0.10161496155,0.509537510656,0.2113841826,0.510404668663,1.05118828227,0.126183667056
lightgbm,12,60,0,12,52092,0.565060290416,0.391343443912,-0.448718158789,1.87504666544,0.122022473595,0.0832461418537,-0.0964397831151,0.405507903756,0.214157560874,0.515050295631,0.335065845043,0.060467986059
mlp,12,60,0,12,52092,0.40095740803,0.440808391788,-1.04476990182,1.64344595686,0.0686198616738,0.0752227179587,-0.180979713215,0.279082115235,0.171812006729,0.508350610458,1.48619749674,0.0340044314527
momentum_12,12,60,0,12,52092,-3.75816094707,-3.61321973572,-5.1860844047,-2.6995881796,-0.823077061156,-0.78310912945,-1.12494919095,-0.591057595551,0.219165722929,0.461452814252,1.55794075866,-0.407874146401
reversal_12,12,60,0,12,52092,3.75254554069,3.61553547665,2.66356189269,5.14213552596,0.821781783184,0.778774132575,0.583313703515,1.11464335583,0.219158723266,0.538566382554,1.55781597942,0.407232274064
ridge,12,60,0,12,52092,1.81620408084,1.7047254669,-0.222829205022,3.68510347062,0.382950661798,0.359860968479,-0.0469642157729,0.783405846692,0.210577603533,0.506123781003,1.39317457575,0.189770413569
tcn,12,60,0,12,52092,-0.292556512614,-0.128721543539,-2.05142230484,1.37999878542,-0.0536842065291,-0.0241008290149,-0.365808756567,0.247991062742,0.184077251646,0.501516547646,1.40961184059,-0.0266030982355
transformer,12,60,0,12,52092,1.14697552526,1.35348754962,-0.700095776308,1.92660068344,0.238611104701,0.282527966436,-0.143537675956,0.399494956363,0.207319597261,0.508561775321,1.00893131383,0.118243242638
lightgbm,24,120,0,24,52056,0.642155979602,0.782128440632,-0.861784592245,2.14221483125,0.135911211431,0.163986836367,-0.177130887123,0.460004849192,0.212101670682,0.514119409866,0.395377093899,0.0673039766198
mlp,24,120,0,24,52056,0.113818909052,0.226607835257,-2.05400255227,1.82032643777,0.0196255560831,0.0368191980667,-0.320562668986,0.305350890807,0.168139305876,0.509547410481,1.51728427079,0.00971868290965
momentum_12,24,120,0,24,52056,-2.3634177222,-2.30631137793,-4.99249828747,-0.660401341686,-0.505888418826,-0.483508837518,-1.08710001708,-0.140026663652,0.213579891397,0.466939449823,1.54040840633,-0.250518716994
reversal_12,24,120,0,24,52056,2.36500556718,2.28165642124,0.694228343432,5.01528506332,0.506208598956,0.478595341023,0.147152011659,1.09233944054,0.213576823838,0.533118180421,1.54049004918,0.250677271949
