model,fold,mean_rank_ic,n_timestamps
lightgbm,1,0.00768789005183,16980
lightgbm,2,0.0180746678566,17556
lightgbm,3,0.0190117667719,17556
mlp,1,0.00445732618243,16980
mlp,2,0.0230181080136,17556
mlp,3,0.00616182799455,17556
momentum_12,1,-0.0393046399498,16980
momentum_12,2,-0.0552763368761,17556
momentum_12,3,-0.037463199245,17556
reversal_12,1,0.0393046399498,16980
reversal_12,2,0.0552763368761,17556
reversal_12,3,0.037463199245,17556
ridge,1,0.0115246048137,16980
ridge,2,0.0128773030312,17556
ridge,3,0.00479595697445,17556
tcn,1,0.00349627547844,16980
tcn,2,-0.00254212867035,17556
tcn,3,0.00394147072411,17556
transformer,1,0.015856290088,16980
transformer,2,0.0309494007092,17556
transformer,3,0.00366296400467,17556
