model,shift_bars,shift_minutes,mean_rank_ic,mean_fold_rank_ic,worst_fold_rank_ic,best_fold_rank_ic,n_timestamps
lightgbm,-24,-120,-0.0189276248402,-0.0282423220393,-0.0625078440837,0.0180156510719,36589
lightgbm,-12,-60,-0.0049543698646,-0.00882547972393,-0.030337180412,0.0128899632844,36613
lightgbm,-6,-30,0.00804046249597,0.00768697019225,-0.00145536399797,0.0137729738383,36625
lightgbm,-1,-5,0.0136056463812,0.014799229958,0.00888749678218,0.0192970881353,36635
lightgbm,0,0,0.013537118644,0.0149247748934,0.00768789005183,0.0190117667719,36637
lightgbm,1,5,0.0130202904514,0.0144721843892,0.00684318641336,0.0191264743821,36636
lightgbm,6,30,0.0111052840535,0.0122422856179,0.00604147301189,0.0173854760802,36631
lightgbm,12,60,0.00987820851595,0.0105555668583,0.00669418377448,0.0147256389831,36625
lightgbm,24,120,0.00661731334842,0.00798302394343,0.00168401929898,0.0158937383109,36613
mlp,-24,-120,-0.00424718179422,-0.00476722588292,-0.0517337076432,0.0381938484941,52020
mlp,-12,-60,-0.0378651781343,-0.0365583174553,-0.109980097836,0.081549216408,52056
mlp,-6,-30,-0.0315412143421,-0.030568449231,-0.102473162296,0.057375596593,52074
mlp,-1,-5,-0.0102000784805,-0.00962497302597,-0.0600049570667,0.0423831311797,52089
mlp,0,0,0.0112871142428,0.0112124207302,0.00445732618243,0.0230181080136,52092
mlp,1,5,0.00886523846814,0.00882679194079,0.00368798292788,0.0174424085289,52089
mlp,6,30,0.00605728859141,0.00605731767574,0.00437382388059,0.00773818206602,52074
mlp,12,60,0.00458662100366,0.00456433827141,0.00255053634385,0.0072871079261,52056
mlp,24,120,0.00405610488866,0.00404574737078,0.0024554792004,0.00657142887535,52020
momentum_12,-24,-120,-0.0440754598844,-0.0440228029152,-0.0552022050818,-0.0375989832731,52020
momentum_12,-12,-60,0.999999754401,0.999999754906,0.999999678497,0.999999800544,52056
momentum_12,-6,-30,0.403944565179,0.40401314797,0.40002969176,0.410213460851,52074
momentum_12,-1,-5,0.0364345068656,0.0364758944981,0.0251522264674,0.0440567840804,52089
momentum_12,0,0,-0.0440668064672,-0.044014725357,-0.0552763368761,-0.037463199245,52092
momentum_12,1,5,-0.0344847506558,-0.0344510381592,-0.0443806771965,-0.0275700974446,52089
momentum_12,6,30,-0.0193459577645,-0.0193246132317,-0.0252949099798,-0.015283995645,52074
momentum_12,12,60,-0.0130789262823,-0.0130601644581,-0.0155268011784,-0.0113645645964,52056
momentum_12,24,120,-0.010210538916,-0.0101832150206,-0.0142610139235,-0.00771552571862,52020
reversal_12,-24,-120,0.0440754598844,0.0440228029152,0.0375989832731,0.0552022050818,52020
reversal_12,-12,-60,-0.999999754401,-0.999999754906,-0.999999800544,-0.999999678497,52056
reversal_12,-6,-30,-0.403944565179,-0.40401314797,-0.410213460851,-0.40002969176,52074
reversal_12,-1,-5,-0.0364345068656,-0.0364758944981,-0.0440567840804,-0.0251522264674,52089
reversal_12,0,0,0.0440668064672,0.044014725357,0.037463199245,0.0552763368761,52092
reversal_12,1,5,0.0344847506558,0.0344510381592,0.0275700974446,0.0443806771965,52089
reversal_12,6,30,0.0193459577645,0.0193246132317,0.015283995645,0.0252949099798,52074
reversal_12,12,60,0.0130789262823,0.0130601644581,0.0113645645964,0.0155268011784,52056
reversal_12,24,120,0.010210538916,0.0101832150206,0.00771552571862,0.0142610139235,52020
ridge,-24,-120,-0.0063585797167,-0.00633386535117,-0.00760713701948,-0.00410184921386,52020
ridge,-12,-60,-0.200495547147,-0.200585570353,-0.226305266204,-0.166730027252,52056
ridge,-6,-30,-0.159276016973,-0.159362524046,-0.175655911757,-0.135248356287,52074
ridge,-1,-5,-0.0566653619659,-0.0567863310797,-0.0677258452635,-0.0397816127653,52089
ridge,0,0,0.00971280700294,0.00973262160648,0.00479595697445,0.0128773030312,52092
ridge,1,5,0.00148889915214,0.00152385616041,-0.00349470143519,0.00468509852881,52089
ridge,6,30,-0.003883642008,-0.00388054737844,-0.00615546942719,-0.00188539918381,52074
ridge,12,60,-0.00383342342356,-0.00384924740324,-0.00527933956753,-0.00237566396758,52056
ridge,24,120,-0.00539619329203,-0.00542761594215,-0.00826547403102,-0.00328078867634,52020
tcn,-24,-120,-0.00347185725052,-0.00348146165908,-0.0136704087152,0.0075748835456,52020
tcn,-12,-60,0.0166266335905,0.0164310806065,-0.00124202032152,0.0264655499894,52056
tcn,-6,-30,0.00651123522124,0.00633017187107,-0.0100390866304,0.0186036826245,52074
tcn,-1,-5,0.00982233477247,0.00977410852434,-0.00945891595993,0.033368343145,52089
tcn,0,0,0.00161125713583,0.00163187251073,-0.00254212867035,0.00394147072411,52092
tcn,1,5,0.00216824374601,0.00218768270855,-0.00260980624628,0.00522726173294,52089
tcn,6,30,0.00227209334807,0.00228226497789,-0.00554204443628,0.00918699548354,52074
tcn,12,60,0.00128223488651,0.00127181519723,-0.00737592277619,0.01086123259,52056
tcn,24,120,9.0805832211e-05,0.000112737620111,-0.00626956358488,0.0045143242304,52020
transformer,-24,-120,-0.0376685702768,-0.037115586732,-0.0824171986521,0.0128257396591,52020
transformer,-12,-60,-0.0225903805236,-0.0220646986111,-0.0964070484206,0.0254438042298,52056
transformer,-6,-30,-0.022582426227,-0.022077498595,-0.0591702437178,0.0235711151341,52074
transformer,-1,-5,0.00328998186327,0.00330368135206,-0.00131668770811,0.00668517424621,52089
transformer,0,0,0.0168335729212,0.016822884934,0.00366296400467,0.0309494007092,52092
transformer,1,5,0.0146462291497,0.0146486020477,0.00121527028208,0.0278673472105,52089
transformer,6,30,0.0133543001508,0.013355615886,0.00209668677616,0.0244955943157,52074
transformer,12,60,0.0127438038789,0.012734846773,0.00403262475543,0.0222465672351,52056
transformer,24,120,0.010768099479,0.0108193359061,-0.000825639907339,0.0178370218924,52020
