model,cost_bps,cohort_count,total_periods,mean_cohort_sharpe,median_cohort_sharpe,worst_cohort_sharpe,best_cohort_sharpe,mean_annualized_net_return,worst_annualized_net_return,mean_annualized_volatility,mean_positive_fraction,mean_turnover,mean_cumulative_net_log_return
lightgbm,0,12,52092,0.565060290416,0.391343443912,-0.448718158789,1.87504666544,0.122022473595,-0.0964397831151,0.214157560874,0.515050295631,0.335065845043,0.060467986059
mlp,0,12,52092,0.40095740803,0.440808391788,-1.04476990182,1.64344595686,0.0686198616738,-0.180979713215,0.171812006729,0.508350610458,1.48619749674,0.0340044314527
momentum_12,0,12,52092,-3.75816094707,-3.61321973572,-5.1860844047,-2.6995881796,-0.823077061156,-1.12494919095,0.219165722929,0.461452814252,1.55794075866,-0.407874146401
reversal_12,0,12,52092,3.75254554069,3.61553547665,2.66356189269,5.14213552596,0.821781783184,0.583313703515,0.219158723266,0.538566382554,1.55781597942,0.407232274064
ridge,0,12,52092,1.81620408084,1.7047254669,-0.222829205022,3.68510347062,0.382950661798,-0.0469642157729,0.210577603533,0.506123781003,1.39317457575,0.189770413569
tcn,0,12,52092,-0.292556512614,-0.128721543539,-2.05142230484,1.37999878542,-0.0536842065291,-0.365808756567,0.184077251646,0.501516547646,1.40961184059,-0.0266030982355
transformer,0,12,52092,1.14697552526,1.35348754962,-0.700095776308,1.92660068344,0.238611104701,-0.143537675956,0.207319597261,0.508561775321,1.00893131383,0.118243242638
lightgbm,1,12,52092,-0.805427127671,-0.968075340487,-1.84913469374,0.518867275082,-0.171495206663,-0.397571089266,0.214189107221,0.507832296706,0.335065845043,-0.0849840972743
mlp,1,12,52092,-7.18148836267,-6.9267663657,-8.57220886151,-5.96307731248,-1.23328914547,-1.48534391501,0.171829435327,0.466040850802,1.48619749674,-0.611153901881
momentum_12,1,12,52092,-9.98306893588,-9.87694168943,-11.4999181678,-8.93560109472,-2.18783316574,-2.49540185162,0.219237119207,0.424306995316,1.55794075866,-1.08417622973
reversal_12,1,12,52092,-2.47571039888,-2.69728585319,-3.57600090441,-1.18079392286,-0.542865014789,-0.782951673126,0.219125655209,0.499904015972,1.55781597942,-0.269015642603
ridge,1,12,52092,-3.97994740712,-3.99605612766,-6.0419118983,-2.0655464704,-0.837470266559,-1.27262765738,0.210612731206,0.467883744145,1.39317457575,-0.415006669764
tcn,1,12,52092,-7.00341194478,-6.77674840059,-8.99131798909,-5.47686410322,-1.28850417889,-1.60413494869,0.184104196219,0.458093373263,1.40961184059,-0.638515598235
transformer,1,12,52092,-3.11582354097,-2.90372065668,-5.01608255231,-2.31003922974,-0.645212726213,-1.02917347416,0.207418079492,0.483529140751,1.00893131383,-0.319733840695
lightgbm,2,12,52092,-2.17480781669,-2.32538250632,-3.2474102471,-0.837451803665,-0.465012886921,-0.698702395416,0.214289373013,0.500633494587,0.335065845043,-0.230436180608
mlp,2,12,52092,-14.7582589877,-14.4881680681,-16.1599705597,-13.5597476914,-2.53519815261,-2.78970811681,0.171894636138,0.421369884051,1.48619749674,-1.25631223521
momentum_12,2,12,52092,-16.2010484437,-16.1335711203,-17.8061783849,-15.1635694548,-3.55258927032,-3.8658545123,0.219347537565,0.388792904861,1.55794075866,-1.76047831307
reversal_12,2,12,52092,-8.70428362148,-8.8527622,-9.81670800866,-7.40041436077,-1.90751181276,-2.14921704977,0.219131647908,0.462105505644,1.55781597942,-0.945263559269
ridge,2,12,52092,-9.77224893999,-9.69304122011,-11.8657275482,-7.815438517,-2.05789119492,-2.49829109898,0.210689834445,0.430853106043,1.39317457575,-1.0197837531
tcn,2,12,52092,-13.7084715864,-13.4203935479,-15.9196450958,-12.32355461,-2.52332415124,-2.84246114081,0.184182017846,0.415937188052,1.40961184059,-1.25042809824
transformer,2,12,52092,-7.37233076532,-7.14467674123,-9.32291448718,-6.54073760218,-1.52903655713,-1.91480927236,0.207578597998,0.45964831452,1.00893131383,-0.757710924029
lightgbm,5,12,52092,-6.26324263347,-6.37211604738,-7.41555608941,-4.89426946084,-1.34556592769,-1.60209631387,0.2150011995,0.479267449896,0.335065845043,-0.666792430608
mlp,5,12,52092,-37.3915982433,-37.2327229081,-39.6828915813,-35.6859120928,-6.44092517403,-6.7028007222,0.172376127848,0.298395147048,1.48619749674,-3.19178723521
momentum_12,5,12,52092,-34.7805505063,-34.8277048821,-36.6464834918,-33.5153503547,-7.64685758408,-7.97721249433,0.219912233439,0.29317361591,1.55794075866,-3.78938456307
reversal_12,5,12,52092,-27.3586379708,-27.3654631794,-28.5116145257,-25.8491808559,-6.00145220668,-6.24801317969,0.219383853735,0.352664516624,1.55781597942,-2.97400730927
ridge,5,12,52092,-27.0916675534,-26.7662058092,-29.3293992682,-25.0269086078,-5.71915397999,-6.17528142379,0.21117241925,0.328303770253,1.39317457575,-2.8341150031
tcn,5,12,52092,-33.7336722812,-33.5348622449,-36.5762141871,-31.6221867574,-6.22778406831,-6.55743971718,0.184719887158,0.306016278891,1.40961184059,-3.08616559824
transformer,5,12,52092,-20.0664356896,-19.7132696458,-22.1492265385,-18.9142884313,-4.18050804987,-4.57171666697,0.208430654173,0.388946479306,1.00893131383,-2.07164217403
lightgbm,10,12,52092,-12.9364153595,-12.9848271614,-14.1947400074,-11.5396304491,-2.81315432898,-3.10775284462,0.217540360158,0.446460109038,0.335065845043,-1.39405284727
