model,cadence_bars,cadence_minutes,cost_bps,phase_count,sleeve_count,mean_phase_break_even_cost_bps,median_phase_break_even_cost_bps,worst_phase_break_even_cost_bps,best_phase_break_even_cost_bps,mean_pooled_annualized_net_return,median_pooled_annualized_net_return,worst_pooled_annualized_net_return,best_pooled_annualized_net_return,positive_phase_fraction,mean_positive_sleeve_fraction,mean_pooled_turnover
lightgbm,1,5,0,1,12,0.415724441158,0.415724441158,0.415724441158,0.415724441158,0.122022473595,0.122022473595,0.122022473595,0.122022473595,1,0.666666666667,0.335065845043
mlp,1,5,0,1,12,0.0527071103261,0.0527071103261,0.0527071103261,0.0527071103261,0.0686198616738,0.0686198616738,0.0686198616738,0.0686198616738,1,0.75,1.48619749674
momentum_12,1,5,0,1,12,-0.603094617706,-0.603094617706,-0.603094617706,-0.603094617706,-0.823077061156,-0.823077061156,-0.823077061156,-0.823077061156,0,0,1.55794075866
reversal_12,1,5,0,1,12,0.602193757685,0.602193757685,0.602193757685,0.602193757685,0.821781783184,0.821781783184,0.821781783184,0.821781783184,1,1,1.55781597942
ridge,1,5,0,1,12,0.313785721713,0.313785721713,0.313785721713,0.313785721713,0.382950661798,0.382950661798,0.382950661798,0.382950661798,1,0.916666666667,1.39317457575
tcn,1,5,0,1,12,-0.0434753305995,-0.0434753305995,-0.0434753305995,-0.0434753305995,-0.0536842065291,-0.0536842065291,-0.0536842065291,-0.0536842065291,0,0.416666666667,1.40961184059
transformer,1,5,0,1,12,0.269975866632,0.269975866632,0.269975866632,0.269975866632,0.238611104701,0.238611104701,0.238611104701,0.238611104701,1,0.916666666667,1.00893131383
lightgbm,3,15,0,3,4,0.415969124161,0.508240790814,0.187419108101,0.552247473568,0.122022473595,0.148335799972,0.0551589524517,0.162572668362,1,0.666666666667,0.335065845043
mlp,3,15,0,3,4,0.0527102575107,0.0577307797747,0.0123373352893,0.0880626574681,0.0686198616738,0.075076974021,0.0160712165991,0.114711394401,1,0.75,1.48619749674
momentum_12,3,15,0,3,4,-0.602972973476,-0.574671054368,-0.71801176094,-0.516236105119,-0.823077061156,-0.784537090958,-0.981592290518,-0.703101801992,0,0,1.55794075866
reversal_12,3,15,0,3,4,0.602073294852,0.578486966141,0.513353842232,0.714379076183,0.821781783184,0.789637107484,0.699163276524,0.976544965544,1,1,1.55781597942
ridge,3,15,0,3,4,0.31338276321,0.339725072442,0.203802463788,0.3966207534,0.382950661798,0.416461441643,0.24683724838,0.485553295372,1,0.916666666667,1.39317457575
tcn,3,15,0,3,4,-0.0437082821601,-0.0363709486066,-0.162479967672,0.0677260697987,-0.0536842065291,-0.04481294866,-0.200223659928,0.0839839890004,0.333333333333,0.416666666667,1.40961184059
transformer,3,15,0,3,4,0.27008188753,0.237864827532,0.237797285828,0.334583549231,0.238611104701,0.210664771637,0.210427604612,0.294740937856,1,0.916666666667,1.00893131383
lightgbm,6,30,0,6,2,0.416167737867,0.418137530801,0.056543731618,0.766598402945,0.122022473595,0.12416774521,0.0165164748051,0.222647830974,1,0.666666666667,0.335065845043
mlp,6,30,0,6,2,0.0526750052273,0.0370042836651,-0.0113904599488,0.14034265132,0.0686198616738,0.0480406991543,-0.0148877641007,0.183341137376,0.833333333333,0.75,1.48619749674
momentum_12,6,30,0,6,2,-0.602965751694,-0.577764678105,-0.812046013169,-0.472774649392,-0.823077061156,-0.787542889441,-1.11061743016,-0.643955992675,0,0,1.55794075866
reversal_12,6,30,0,6,2,0.602062196372,0.582102331581,0.462157608507,0.806201414888,0.821781783184,0.793431151736,0.629448122909,1.10264423805,1,1,1.55781597942
ridge,6,30,0,6,2,0.313514743748,0.299790905998,0.109781911311,0.521660224852,0.382950661798,0.364593912046,0.13381352828,0.641498412711,1,0.916666666667,1.39317457575
tcn,6,30,0,6,2,-0.0436014760327,-0.0360073287597,-0.285530190815,0.154477373402,-0.0536842065291,-0.0440940816171,-0.35336344236,0.192068807016,0.166666666667,0.416666666667,1.40961184059
transformer,6,30,0,6,2,0.270029603726,0.284975762375,0.112700952609,0.362635600989,0.238611104701,0.249822249373,0.0996726991217,0.321656844151,1,0.916666666667,1.00893131383
lightgbm,12,60,0,12,1,0.418440366841,0.287810757165,-0.320258243315,1.38251536616,0.122022473595,0.0832461418537,-0.096439783115,0.405507903756,0.666666666667,0.666666666667,0.335065845043
mlp,12,60,0,12,1,0.052860460388,0.0578939180386,-0.138749371507,0.215990268231,0.0686198616738,0.0752227179587,-0.180979713215,0.279082115234,0.75,0.75,1.48619749674
momentum_12,12,60,0,12,1,-0.602938495381,-0.574258393071,-0.820859576711,-0.432640143241,-0.823077061156,-0.78310912945,-1.12494919094,-0.591057595552,0,0,1.55794075866
reversal_12,12,60,0,12,1,0.602025726264,0.571184659201,0.426940266137,0.813279676984,0.821781783184,0.778774132575,0.583313703515,1.11464335583,1,1,1.55781597942
ridge,12,60,0,12,1,0.313638394732,0.299116091911,-0.0383173832055,0.640830567169,0.382950661798,0.35986096848,-0.0469642157728,0.783405846692,0.916666666667,0.916666666667,1.39317457575
tcn,12,60,0,12,1,-0.0437478449263,-0.0194549242332,-0.295405813827,0.201181078122,-0.0536842065291,-0.0241008290149,-0.365808756567,0.247991062742,0.416666666667,0.416666666667,1.40961184059
transformer,12,60,0,12,1,0.270048834822,0.317732333974,-0.162073028491,0.454630622905,0.238611104701,0.282527966436,-0.143537675955,0.399494956362,0.916666666667,0.916666666667,1.00893131383
lightgbm,1,5,1,1,12,0.415724441158,0.415724441158,0.415724441158,0.415724441158,-0.171495206663,-0.171495206663,-0.171495206663,-0.171495206663,0,0.25,0.335065845043
mlp,1,5,1,1,12,0.0527071103261,0.0527071103261,0.0527071103261,0.0527071103261,-1.23328914547,-1.23328914547,-1.23328914547,-1.23328914547,0,0,1.48619749674
momentum_12,1,5,1,1,12,-0.603094617706,-0.603094617706,-0.603094617706,-0.603094617706,-2.18783316574,-2.18783316574,-2.18783316574,-2.18783316574,0,0,1.55794075866
reversal_12,1,5,1,1,12,0.602193757685,0.602193757685,0.602193757685,0.602193757685,-0.542865014788,-0.542865014788,-0.542865014788,-0.542865014788,0,0,1.55781597942
