cadence_bars,cadence_minutes,phase,phase_offset_minutes,sleeve_count,capital_fraction_per_sleeve,selected_cohorts
1,5,0,0,12,0.0833333333333,"0,1,2,3,4,5,6,7,8,9,10,11"
3,15,0,0,4,0.25,"0,3,6,9"
3,15,1,5,4,0.25,"1,4,7,10"
3,15,2,10,4,0.25,"2,5,8,11"
6,30,0,0,2,0.5,"0,6"
6,30,1,5,2,0.5,"1,7"
6,30,2,10,2,0.5,"2,8"
6,30,3,15,2,0.5,"3,9"
6,30,4,20,2,0.5,"4,10"
6,30,5,25,2,0.5,"5,11"
12,60,0,0,1,1,0
12,60,1,5,1,1,1
12,60,2,10,1,1,2
12,60,3,15,1,1,3
12,60,4,20,1,1,4
12,60,5,25,1,1,5
12,60,6,30,1,1,6
12,60,7,35,1,1,7
12,60,8,40,1,1,8
12,60,9,45,1,1,9
12,60,10,50,1,1,10
12,60,11,55,1,1,11
