model,cadence_bars,cadence_minutes,phase,phase_offset_minutes,sleeve_count,capital_fraction_per_sleeve,selected_cohorts,cost_bps,total_periods,total_gross_log_return,total_turnover,break_even_cost_bps,equal_weighted_gross_mean_return,pooled_gross_mean_return,equal_weighted_mean_turnover,pooled_mean_turnover,equal_weighted_net_mean_return,pooled_net_mean_return,equal_weighted_annualized_net_return,pooled_annualized_net_return,positive_sleeve_fraction,all_sleeves_positive
lightgbm,1,5,0,0,12,0.0833333333333,"0,1,2,3,4,5,6,7,8,9,10,11",0,52092,0.725615832708,17454.25,0.415724441158,1.39295061182e-05,1.39295061182e-05,0.335065845043,0.335065845043,1.39295061182e-05,1.39295061182e-05,0.122022473595,0.122022473595,0.666666666667,False
lightgbm,1,5,0,0,12,0.0833333333333,"0,1,2,3,4,5,6,7,8,9,10,11",1,52092,0.725615832708,17454.25,0.415724441158,1.39295061182e-05,1.39295061182e-05,0.335065845043,0.335065845043,-1.95770783862e-05,-1.95770783862e-05,-0.171495206663,-0.171495206663,0.25,False
lightgbm,1,5,0,0,12,0.0833333333333,"0,1,2,3,4,5,6,7,8,9,10,11",2,52092,0.725615832708,17454.25,0.415724441158,1.39295061182e-05,1.39295061182e-05,0.335065845043,0.335065845043,-5.30836628905e-05,-5.30836628905e-05,-0.465012886921,-0.465012886921,0,False
lightgbm,1,5,0,0,12,0.0833333333333,"0,1,2,3,4,5,6,7,8,9,10,11",5,52092,0.725615832708,17454.25,0.415724441158,1.39295061182e-05,1.39295061182e-05,0.335065845043,0.335065845043,-0.000153603416404,-0.000153603416404,-1.34556592769,-1.34556592769,0,False
lightgbm,1,5,0,0,12,0.0833333333333,"0,1,2,3,4,5,6,7,8,9,10,11",10,52092,0.725615832708,17454.25,0.415724441158,1.39295061182e-05,1.39295061182e-05,0.335065845043,0.335065845043,-0.000321136338925,-0.000321136338925,-2.81315432899,-2.81315432898,0,False
lightgbm,3,15,0,0,4,0.25,"0,3,6,9",0,17364,0.322250207014,5835.25,0.552247473568,1.85585237857e-05,1.85585237856e-05,0.336054480535,0.336054480534,1.85585237857e-05,1.85585237856e-05,0.162572668362,0.162572668362,0.5,False
lightgbm,3,15,0,0,4,0.25,"0,3,6,9",1,17364,0.322250207014,5835.25,0.552247473568,1.85585237857e-05,1.85585237856e-05,0.336054480535,0.336054480534,-1.50469242678e-05,-1.50469242678e-05,-0.131811056586,-0.131811056586,0.5,False
lightgbm,3,15,0,0,4,0.25,"0,3,6,9",2,17364,0.322250207014,5835.25,0.552247473568,1.85585237857e-05,1.85585237856e-05,0.336054480535,0.336054480534,-4.86523723212e-05,-4.86523723213e-05,-0.426194781534,-0.426194781534,0,False
lightgbm,3,15,0,0,4,0.25,"0,3,6,9",5,17364,0.322250207014,5835.25,0.552247473568,1.85585237857e-05,1.85585237856e-05,0.336054480535,0.336054480534,-0.000149468716482,-0.000149468716482,-1.30934595638,-1.30934595638,0,False
lightgbm,3,15,0,0,4,0.25,"0,3,6,9",10,17364,0.322250207014,5835.25,0.552247473568,1.85585237857e-05,1.85585237856e-05,0.336054480535,0.336054480534,-0.000317495956749,-0.000317495956749,-2.78126458112,-2.78126458112,0,False
lightgbm,3,15,1,5,4,0.25,"1,4,7,10",0,17364,0.109335622189,5833.75,0.187419108101,6.29668406986e-06,6.29668406983e-06,0.335968094909,0.335968094909,6.29668406986e-06,6.29668406983e-06,0.0551589524519,0.0551589524517,0.5,False
lightgbm,3,15,1,5,4,0.25,"1,4,7,10",1,17364,0.109335622189,5833.75,0.187419108101,6.29668406986e-06,6.29668406983e-06,0.335968094909,0.335968094909,-2.7300125421e-05,-2.73001254211e-05,-0.239149098688,-0.239149098689,0,False
lightgbm,3,15,1,5,4,0.25,"1,4,7,10",2,17364,0.109335622189,5833.75,0.187419108101,6.29668406986e-06,6.29668406983e-06,0.335968094909,0.335968094909,-6.08969349119e-05,-6.0896934912e-05,-0.533457149829,-0.533457149829,0,False
lightgbm,3,15,1,5,4,0.25,"1,4,7,10",5,17364,0.109335622189,5833.75,0.187419108101,6.29668406986e-06,6.29668406983e-06,0.335968094909,0.335968094909,-0.000161687363385,-0.000161687363385,-1.41638130325,-1.41638130325,0,False
lightgbm,3,15,1,5,4,0.25,"1,4,7,10",10,17364,0.109335622189,5833.75,0.187419108101,6.29668406986e-06,6.29668406983e-06,0.335968094909,0.335968094909,-0.000329671410839,-0.000329671410839,-2.88792155895,-2.88792155895,0,False
