model,regime_dimension,regime_cell_count,mean_cell_rank_ic,worst_cell_rank_ic,best_cell_rank_ic,positive_rank_ic_cell_fraction,worst_rank_ic_fold,worst_rank_ic_regime,mean_break_even_cost_bps,worst_break_even_cost_bps,best_break_even_cost_bps,positive_break_even_cell_fraction,worst_break_even_fold,worst_break_even_regime,focus_cost_bps,mean_annualized_net_return_at_focus_cost,worst_annualized_net_return_at_focus_cost,positive_cell_fraction_at_focus_cost
reversal_12,direction,9,0.043926704563,0.0315725801912,0.0578499065616,1,3,up,0.589770456612,-0.176932041027,0.997573130659,0.888888888889,3,up,1,-0.555529717679,-1.56454319625,0
mlp,direction,9,0.0112908585124,-0.00390281267169,0.0266644078573,0.888888888889,1,down,0.0639827553984,-0.721373263242,0.911081813181,0.555555555556,3,down,1,-1.21810562795,-2.25889154645,0
ridge,direction,9,0.00960460957458,-0.00486728558961,0.0292951276324,0.666666666667,3,up,0.310412878587,-0.211304255389,0.8455333415,0.888888888889,1,up,1,-0.849551317599,-1.51667277171,0
tcn,direction,9,0.00175450514928,-0.00696771010744,0.0137089361984,0.444444444444,3,down,-0.0472513660054,-0.521360389286,0.255226731391,0.444444444444,3,down,1,-1.28163964515,-1.69476129445,0
transformer,direction,9,0.0172607149464,-0.0123022397952,0.0492000952803,0.888888888889,1,down,0.388072071421,-0.379545056349,2.30636720497,0.555555555556,3,up,1,-0.621247547969,-1.59093563711,0.222222222222
lightgbm,direction,9,0.0151113365901,-0.0167847076966,0.041301118862,0.888888888889,1,down,1.56501813295,-3.1694705307,7.82616257623,0.555555555556,1,down,1,-0.150969164921,-2.33596160618,0.555555555556
momentum_12,direction,9,-0.043926704563,-0.0578499065616,-0.0315725801912,0,2,flat,-0.590856083662,-0.992921674401,0.174755743515,0.111111111111,2,flat,1,-2.17486864809,-2.76239819717,0
reversal_12,dispersion,9,0.0429478055065,0.0273992509581,0.0596675287846,1,3,medium,0.591382368427,-0.145408220298,1.24449383225,0.888888888889,1,high,1,-0.555191259668,-1.53608454045,0.111111111111
mlp,dispersion,9,0.011575370631,0.00288083468787,0.027392115472,1,1,medium,0.10883439229,-0.832254219564,0.767933168611,0.666666666667,3,high,1,-1.15817260722,-2.35992107404,0
transformer,dispersion,9,0.0181058233308,0.00243568010957,0.0490545248344,1,3,high,0.42037772942,-0.230946690687,1.71112359076,0.444444444444,3,low,1,-0.586732673488,-1.40082710187,0.333333333333
lightgbm,dispersion,9,0.0157370234713,0.00112948824811,0.0413473865719,1,1,medium,2.49225869197,-1.26810462795,18.4498795709,0.555555555556,2,low,1,-0.176443737373,-1.08286667469,0.333333333333
ridge,dispersion,9,0.0088453083637,-0.00602748275265,0.0170865854438,0.888888888889,3,low,0.270395149607,-0.0459138645846,0.87837765856,0.777777777778,1,high,1,-0.893938679521,-1.26860308381,0
tcn,dispersion,9,0.00186809031944,-0.00828963940205,0.0122830207101,0.555555555556,2,high,-0.0388222691249,-0.407989794111,0.144532200779,0.555555555556,3,high,1,-1.27389027557,-1.5571037545,0
momentum_12,dispersion,9,-0.0429478055065,-0.0596675287846,-0.0273992509581,0,2,low,-0.592476084272,-1.25111465996,0.136662486447,0.111111111111,2,high,1,-2.17702396673,-3.04017058612,0
reversal_12,volatility,9,0.0434271773894,0.029905231886,0.0596482982831,1,1,high,0.583249900541,0.0841421328975,1.01944388044,1,3,medium,1,-0.562373300005,-1.22407879187,0.111111111111
transformer,volatility,9,0.0188290711539,0.000543090474288,0.0483871187072,1,3,high,0.458178803286,-0.532244120914,2.50207076193,0.555555555556,1,medium,1,-0.557346521338,-1.60039446952,0.333333333333
mlp,volatility,9,0.0115872846912,-0.000693741086682,0.0255634084231,0.888888888889,3,high,0.0912547005962,-0.965822186853,0.73713456144,0.666666666667,3,high,1,-1.18020864305,-2.53248063749,0
ridge,volatility,9,0.00946695848941,-0.00508179717477,0.0177770881534,0.888888888889,3,low,0.29542571635,-0.158008068938,0.870163804095,0.666666666667,3,low,1,-0.862337454144,-1.41874093238,0
lightgbm,volatility,9,0.0165462955371,-0.00693862304505,0.0369633091328,0.888888888889,1,medium,3.1125498993,-8.51310855857,32.1081566503,0.555555555556,3,medium,1,-0.154727239593,-1.57918115523,0.333333333333
tcn,volatility,9,0.00133626895905,-0.00941548703255,0.012809860169,0.555555555556,2,high,-0.0408251630748,-0.49187463288,0.247395177552,0.555555555556,3,medium,1,-1.2709286195,-1.62738355937,0
momentum_12,volatility,9,-0.0434271773894,-0.0596482982831,-0.029905231886,0,2,low,-0.583866945462,-1.02010419637,-0.0855863399431,0,2,low,1,-2.16194590569,-2.81777156049,0
