model,symbol,timestamp_count,long_selection_count,short_selection_count,active_selection_count,long_selection_fraction,short_selection_fraction,active_selection_fraction,mean_absolute_weight,mean_gross_return_contribution,cumulative_gross_log_return_contribution,absolute_cumulative_contribution,absolute_contribution_share,portfolio_gross_cumulative_log_return,absolute_contribution_rank
lightgbm,ADAUSDT,52092,493,45199,45692,0.00946402518621,0.867676418644,0.87714044383,0.109642555479,2.57272324581e-05,1.34018299321,1.34018299321,0.156348527579,0.725615832708,1
lightgbm,APTUSDT,52092,786,47064,47850,0.0150886892421,0.903478461184,0.918567150426,0.114820893803,1.40789548819e-05,0.733400917709,0.733400917709,0.0855600721621,0.725615832708,5
lightgbm,ARBUSDT,52092,777,43508,44285,0.0149159179912,0.835214620287,0.850130538278,0.106266317285,1.66362708676e-05,0.866616622035,0.866616622035,0.101101292523,0.725615832708,3
lightgbm,ATOMUSDT,52092,466,29360,29826,0.00894571143362,0.563618213929,0.572563925363,0.0715704906704,7.18439851251e-06,0.374249687313,0.374249687313,0.0436607447305,0.725615832708,9
lightgbm,AVAXUSDT,52092,500,3258,3758,0.00959840282577,0.0625431928127,0.0721415956385,0.00901769945481,5.34424887691e-06,0.278392612496,0.278392612496,0.0324778595709,0.725615832708,13
lightgbm,BCHUSDT,52092,1393,3114,4507,0.0267411502726,0.0597788527989,0.0865200030715,0.0108150003839,1.82775866816e-06,0.0952116045417,0.0952116045417,0.0111075832584,0.725615832708,16
lightgbm,BNBUSDT,52092,2257,651,2908,0.0433271903555,0.0124971204792,0.0558243108347,0.00697803885433,-1.61332055304e-07,-0.00840410942492,0.00840410942492,0.000980440835962,0.725615832708,20
lightgbm,BTCUSDT,52092,13475,906,14381,0.258676956154,0.0173923059203,0.276069262075,0.0345086577593,-7.70851601975e-06,-0.401552016501,0.401552016501,0.0468458910795,0.725615832708,8
lightgbm,DOGEUSDT,52092,2794,1836,4630,0.0536358749904,0.0352453351762,0.0888812101666,0.0111101512708,5.83795595008e-06,0.304110801351,0.304110801351,0.0354781968233,0.725615832708,11
lightgbm,DOTUSDT,52092,745,4858,5603,0.0143016202104,0.0932580818552,0.107559702066,0.0134449627582,-7.04408915414e-07,-0.0366940692218,0.0366940692218,0.00428080622035,0.725615832708,19
lightgbm,ETCUSDT,52092,693,1174,1867,0.0133033863165,0.0225370498349,0.0358404361514,0.00448005451893,-1.32840360832e-06,-0.0691992007644,0.0691992007644,0.00807292228303,0.725615832708,18
lightgbm,ETHUSDT,52092,14243,1335,15578,0.273420102895,0.0256277355448,0.29904783844,0.037380979805,-3.37341832068e-06,-0.175728107161,0.175728107161,0.0205008054484,0.725615832708,15
lightgbm,FILUSDT,52092,1631,7836,9467,0.0313099900177,0.150426169085,0.181736159103,0.0227170198879,-5.12798828294e-06,-0.267127165635,0.267127165635,0.0311636091752,0.725615832708,14
lightgbm,LINKUSDT,52092,853,778,1631,0.0163748752208,0.0149351147969,0.0313099900177,0.00391374875221,-1.452891766e-06,-0.0756840378743,0.0756840378743,0.00882945683006,0.725615832708,17
