model,excluded_symbol,cost_bps,cohort,period_count,mean_net_return,annualized_net_return,annualized_volatility,annualized_sharpe,positive_fraction,mean_turnover,cumulative_net_log_return
lightgbm,ADAUSDT,0,0,4341,3.14519848037e-05,0.27551938688,0.222391103283,1.23889572385,0.511172540889,0.323542962451,0.136533066033
lightgbm,ADAUSDT,0,1,4341,2.25508011738e-05,0.197545018282,0.223791510891,0.882718998123,0.506104584197,0.324579589956,0.0978930278955
lightgbm,ADAUSDT,0,2,4341,1.13883871176e-05,0.0997622711506,0.218969629027,0.45559866724,0.508638562543,0.324291637871,0.0494369884777
lightgbm,ADAUSDT,0,3,4341,2.85694944123e-05,0.250268771052,0.219461908615,1.14037453074,0.51002073255,0.320836212854,0.124020175244
lightgbm,ADAUSDT,0,4,4341,8.186121014e-06,0.0717104200826,0.215618724367,0.33257974368,0.507486754204,0.320317899102,0.0355359513218
lightgbm,ADAUSDT,0,5,4341,2.59050445223e-06,0.0226928190015,0.220955652537,0.10270304806,0.503570605851,0.320375489519,0.0112453798271
lightgbm,ADAUSDT,0,6,4341,-2.71867676276e-05,-0.238156084418,0.22056326186,-1.07976315915,0.509329647547,0.334427551255,-0.118017758271
lightgbm,ADAUSDT,0,7,4341,-1.08587692699e-05,-0.0951228188042,0.216093516363,-0.440192840604,0.509329647547,0.328322967058,-0.0471379174006
lightgbm,ADAUSDT,0,8,4341,-2.0064420363e-05,-0.17576432238,0.216154936431,-0.813140450463,0.511633264225,0.325788988712,-0.0870996487956
lightgbm,ADAUSDT,0,9,4341,-1.33428719297e-05,-0.116883558104,0.218265970066,-0.535509763932,0.508638562543,0.323485372034,-0.0579214070469
lightgbm,ADAUSDT,0,10,4341,-1.15164915765e-05,-0.10088446621,0.218200359675,-0.462347845624,0.50794747754,0.326364892882,-0.0499930899336
lightgbm,ADAUSDT,0,11,4341,3.11114672718e-05,0.272536453301,0.22112092858,1.23252219974,0.512554710896,0.325213084543,0.135054879427
lightgbm,ADAUSDT,1,0,4341,-9.02311441447e-07,-0.00790424822707,0.222359995195,-0.0355470786017,0.503570605851,0.323542962451,-0.00391693396732
lightgbm,ADAUSDT,1,1,4341,-9.90715782183e-06,-0.0867867025192,0.22379047207,-0.387803384641,0.495968670813,0.324579589956,-0.0430069721045
lightgbm,ADAUSDT,1,2,4341,-2.10407766695e-05,-0.184317203625,0.219019547514,-0.841555951134,0.502879520848,0.324291637871,-0.0913380115223
lightgbm,ADAUSDT,1,3,4341,-3.5141268731e-06,-0.0307837514083,0.219374905243,-0.140324853357,0.505183137526,0.320836212854,-0.0152548247561
lightgbm,ADAUSDT,1,4,4341,-2.38456688962e-05,-0.20888805953,0.21569118198,-0.968458968107,0.500115180834,0.320317899102,-0.103514048678
lightgbm,ADAUSDT,1,5,4341,-2.94470444996e-05,-0.257956109817,0.221117355699,-1.16660272551,0.497581202488,0.320375489519,-0.127829620173
lightgbm,ADAUSDT,1,6,4341,-6.06295227531e-05,-0.531114619318,0.220674296837,-2.40678061256,0.501958074176,0.334427551255,-0.263192758271
lightgbm,ADAUSDT,1,7,4341,-4.36910659757e-05,-0.382733737947,0.216089928035,-1.77117805271,0.504261690855,0.328322967058,-0.189662917401
lightgbm,ADAUSDT,1,8,4341,-5.26433192342e-05,-0.461155476492,0.216157420759,-2.13342421866,0.505413499194,0.325788988712,-0.228524648796
lightgbm,ADAUSDT,1,9,4341,-4.56914091331e-05,-0.400256744006,0.218297652025,-1.83353664272,0.500345542502,0.323485372034,-0.198346407047
lightgbm,ADAUSDT,1,10,4341,-4.41529808647e-05,-0.386780112375,0.218215843927,-1.77246576332,0.500806265837,0.326364892882,-0.191668089934
lightgbm,ADAUSDT,1,11,4341,-1.40984118247e-06,-0.0123502087584,0.221159928581,-0.0558428863567,0.505874222529,0.325213084543,-0.00612012057308
lightgbm,APTUSDT,0,0,4341,3.18930978243e-05,0.279383536941,0.202688119354,1.37839128327,0.51531905091,0.331144897489,0.138447937655
lightgbm,APTUSDT,0,1,4341,2.11403173017e-05,0.185189179563,0.203466864484,0.910168739428,0.510942179221,0.33074176457,0.0917701174066
lightgbm,APTUSDT,0,2,4341,1.90840417427e-05,0.167176205666,0.198388424399,0.842671169812,0.519465560931,0.326883206634,0.0828438252049
lightgbm,APTUSDT,0,3,4341,2.07893454986e-05,0.182114666567,0.199766961981,0.911635561561,0.514397604239,0.326364892882,0.0902465488092
lightgbm,APTUSDT,0,4,4341,8.64776607644e-07,0.00757544308296,0.196383109485,0.0385748199162,0.505413499194,0.32659525455,0.00375399525378
lightgbm,APTUSDT,0,5,4341,9.17611502992e-07,0.00803827676621,0.197093129855,0.0407841550445,0.514167242571,0.324867542041,0.00398335153449
lightgbm,APTUSDT,0,6,4341,-1.32621994311e-05,-0.116176867017,0.201389646684,-0.576876065527,0.513706519235,0.340992858788,-0.0575712077306
lightgbm,APTUSDT,0,7,4341,-6.3608532413e-06,-0.0557210743938,0.198551187655,-0.280638333379,0.509560009214,0.336788758351,-0.0276124639205
lightgbm,APTUSDT,0,8,4341,-7.6219919114e-06,-0.0667686491439,0.197195995034,-0.338590289992,0.509099285879,0.33074176457,-0.0330870668874
lightgbm,APTUSDT,0,9,4341,-2.03159170802e-05,-0.177967433622,0.200272210014,-0.888627701315,0.514397604239,0.331893572909,-0.088191396045
lightgbm,APTUSDT,0,10,4341,-1.69718256035e-05,-0.148673192286,0.200339572908,-0.742105966027,0.514167242571,0.333448514167,-0.0736746949446
lightgbm,APTUSDT,0,11,4341,2.56052747846e-05,0.224302207113,0.201981927906,1.11050631826,0.524303155955,0.331778392076,0.11115249784
lightgbm,APTUSDT,1,0,4341,-1.22139192462e-06,-0.0106993932597,0.202671192886,-0.052791879829,0.508868924211,0.331144897489,-0.00530206234477
lightgbm,APTUSDT,1,1,4341,-1.19338591553e-05,-0.104540606201,0.203461534746,-0.513810172186,0.503109882516,0.33074176457,-0.0518048825934
lightgbm,APTUSDT,1,2,4341,-1.36042789208e-05,-0.119173483346,0.198412168114,-0.600635961385,0.5132457959,0.326883206634,-0.0590561747951
