model,excluded_symbol,remaining_symbol_count,full_mean_rank_ic,mean_rank_ic,median_rank_ic,rank_ic_std,rank_ic_ir,positive_timestamp_fraction,rmse,mae,n_rows,n_timestamps,rank_ic_delta,cohort_count,total_periods,pooled_break_even_cost_bps,equal_weighted_break_even_cost_bps,mean_individual_break_even_cost_bps,median_individual_break_even_cost_bps,worst_individual_break_even_cost_bps,best_individual_break_even_cost_bps,mean_turnover,focus_cost_bps,pooled_annualized_net_return_at_focus_cost,positive_cohort_fraction_at_focus_cost,full_break_even_cost_bps,break_even_delta_bps
lightgbm,ADAUSDT,19,0.013537118644,0.0137535444489,0.0196831605774,0.319815513548,0.043004619433,0.510620244156,0.00443728610782,0.00284064370288,989748,52092,0.000216425804905,12,52092,0.135673653842,0.135673653842,0.139726110754,0.168210390828,-0.812934446505,0.972111541707,0.32479555402,1,-0.245918914502,0,0.415724441158,-0.280050787316
lightgbm,APTUSDT,19,0.013537118644,0.0126697956797,0.0170996392014,0.315829918987,0.0401158817391,0.508239302871,0.00434304318541,0.00277035511129,989748,52092,-0.000867322964269,12,52092,0.140378371082,0.140378371082,0.143353710687,0.0273621268639,-0.612121437064,0.963116088036,0.331020118252,1,-0.249267598653,0,0.415724441158,-0.275346070076
lightgbm,ARBUSDT,19,0.013537118644,0.0140268959688,0.0204289724843,0.315399917678,0.0444733659796,0.511509523676,0.00436637445118,0.00278418484977,989748,52092,0.000489777324833,12,52092,0.139608876539,0.139608876539,0.142312782522,0.0869579569192,-0.598360524218,0.98575549693,0.331922368118,1,-0.250170759865,0,0.415724441158,-0.276115564619
lightgbm,ATOMUSDT,19,0.013537118644,0.0128761026588,0.0166594511581,0.321318329966,0.0400727299317,0.50899961587,0.00434170535344,0.00276459978648,989748,52092,-0.000661015985182,12,52092,0.610972997295,0.610972997295,0.614218743789,0.539506241076,-0.0645239158884,1.52433826047,0.327137564309,1,-0.111484443197,0.25,0.415724441158,0.195248556137
lightgbm,AVAXUSDT,19,0.013537118644,0.014131164295,0.0205195670417,0.319091044761,0.0442856812405,0.511516446197,0.00443635190005,0.00284619465061,989748,52092,0.000594045650986,12,52092,0.416006739188,0.416006739188,0.419281675719,0.346345655739,-0.264682257912,1.31098209048,0.328442947094,1,-0.168024217673,0.25,0.415724441158,0.000282298030293
lightgbm,BCHUSDT,19,0.013537118644,0.0139348006852,0.019744962592,0.323520564821,0.0430723799362,0.509845443045,0.00432096332369,0.00276848228053,989748,52092,0.000397682041154,12,52092,0.393732069726,0.393732069726,0.397571953856,0.241221836547,-0.46003366,1.27174762734,0.323542962451,1,-0.171830660647,0.25,0.415724441158,-0.0219923714322
lightgbm,BNBUSDT,19,0.013537118644,0.0133418589184,0.0180668369007,0.318209421171,0.0419279192591,0.510031938416,0.00443270423739,0.00283063413957,989748,52092,-0.000195259725645,12,52092,0.43394144268,0.43394144268,0.436928518586,0.293903638075,-0.282174948238,1.47776344227,0.330108269984,1,-0.163689895294,0.25,0.415724441158,0.0182170015216
lightgbm,BTCUSDT,19,0.013537118644,0.0126490498928,0.0113536002093,0.311173935089,0.0406494518546,0.506045188468,0.00444374417645,0.00284069374723,989748,52092,-0.000888068751194,12,52092,0.474489867173,0.474489867173,0.476561658746,0.325284517955,-0.289706998092,1.34738697193,0.334605121708,1,-0.154034422591,0.25,0.415724441158,0.0587654260146
lightgbm,DOGEUSDT,19,0.013537118644,0.0134089599603,0.0183503228928,0.319925149997,0.0419128035431,0.509125235997,0.00443211854995,0.00283636164728,989748,52092,-0.000128158683709,12,52092,0.346712030846,0.346712030846,0.350162633581,0.239322296297,-0.552918241349,1.30282256522,0.320385087921,1,-0.183350061729,0.25,0.415724441158,-0.0690124103123
lightgbm,DOTUSDT,19,0.013537118644,0.0132524852495,0.0180539165735,0.317814596041,0.0416987936191,0.510515045025,0.00440300523396,0.00281383288419,989748,52092,-0.000284633394536,12,52092,0.539168627865,0.539168627865,0.541820265309,0.493826715171,-0.173714284463,1.40748737609,0.322218382861,1,-0.130075785403,0.25,0.415724441158,0.123444186707
lightgbm,ETCUSDT,19,0.013537118644,0.0140757395475,0.0193891683582,0.318388028458,0.0442093869411,0.510764174199,0.00444185111868,0.00284628835624,989748,52092,0.00053862090351,12,52092,0.443911427668,0.443911427668,0.446774954557,0.304604836827,-0.311718003643,1.48331547922,0.331452046379,1,-0.161461425054,0.25,0.415724441158,0.0281869865104
lightgbm,ETHUSDT,19,0.013537118644,0.0137675525278,0.0199204768222,0.313909066485,0.0438584099593,0.511192500068,0.00444597657947,0.00284392190441,989748,52092,0.000230433883829,12,52092,0.605912323862,0.605912323862,0.60870058706,0.487816207046,-0.180629400448,1.47892671562,0.331130499885,1,-0.114313137497,0.333333333333,0.415724441158,0.190187882704
