model,fold,epoch,train_loss,validation_loss,validation_mean_rank_ic,selected
transformer,1,1,0.000249829642734,2.30457532905e-05,0.00847332213627,False
transformer,1,2,4.54854567256e-05,1.64699280231e-05,0.0140197070429,False
transformer,1,3,3.30490775654e-05,1.5135970014e-05,0.0170337248133,False
transformer,1,4,2.97966978862e-05,1.46327332096e-05,0.028023099272,True
transformer,1,5,2.88866377334e-05,1.42430885504e-05,0.0138846983647,False
transformer,1,6,2.8726832401e-05,1.43743938425e-05,0.00387115533998,False
transformer,2,1,0.000149495996341,2.31660877613e-05,0.00409182784134,False
transformer,2,2,2.8369575096e-05,2.17485126898e-05,0.0111076817235,False
transformer,2,3,2.50326479211e-05,2.17025327558e-05,0.0120649722704,True
transformer,2,4,2.47965461467e-05,2.15503794954e-05,-0.00994684005182,False
transformer,2,5,2.49484844514e-05,2.15636262492e-05,-0.011781086853,False
transformer,3,1,0.000164324527774,1.36268149709e-05,0.00110532071533,True
transformer,3,2,2.66665084729e-05,1.28967541924e-05,-0.000956400609668,False
transformer,3,3,2.35519538109e-05,1.4000205042e-05,-0.00611916187838,False
